,Puts,Bid,Ask,Vol,Expiration,Strike,Put IV
802,16 Nov 220.00 (SPY1625W220-I),0.0,0.01,315,-2,220.0,
805,16 Nov 220.00 (SPY1625W220-O),0.0,0.01,189,-2,220.0,
806,16 Nov 220.00 (SPY1625W220-P),0.0,0.02,1102,-2,220.0,
808,16 Nov 220.00 (SPY1625W220-X),0.0,0.02,2606,-2,220.0,
810,16 Nov 220.50 (SPY1625W220.5),0.0,0.01,8941,-2,220.5,
811,16 Nov 220.50 (SPY1625W220.5-3),0.0,0.01,442,-2,220.5,
812,16 Nov 220.50 (SPY1625W220.5-4),0.0,0.01,875,-2,220.5,
815,16 Nov 220.50 (SPY1625W220.5-B),0.0,0.02,147,-2,220.5,
816,16 Nov 220.50 (SPY1625W220.5-E),0.0,0.01,1493,-2,220.5,
817,16 Nov 220.50 (SPY1625W220.5-I),0.0,0.01,1221,-2,220.5,
820,16 Nov 220.50 (SPY1625W220.5-O),0.0,0.01,640,-2,220.5,
821,16 Nov 220.50 (SPY1625W220.5-P),0.0,0.01,250,-2,220.5,
823,16 Nov 220.50 (SPY1625W220.5-X),0.0,0.02,1139,-2,220.5,
824,16 Nov 220.50 (SPY1625W220.5-Y),0.0,0.01,346,-2,220.5,
825,16 Nov 221.00 (SPY1625W221),0.0,0.01,32227,-2,221.0,
826,16 Nov 221.00 (SPY1625W221-3),0.0,0.01,1660,-2,221.0,
827,16 Nov 221.00 (SPY1625W221-4),0.0,0.01,4366,-2,221.0,
829,16 Nov 221.00 (SPY1625W221-A),0.0,0.01,1985,-2,221.0,
830,16 Nov 221.00 (SPY1625W221-B),0.0,0.02,652,-2,221.0,
831,16 Nov 221.00 (SPY1625W221-E),0.0,0.01,7664,-2,221.0,
832,16 Nov 221.00 (SPY1625W221-I),0.0,0.01,3707,-2,221.0,
833,16 Nov 221.00 (SPY1625W221-J),0.0,0.02,163,-2,221.0,
835,16 Nov 221.00 (SPY1625W221-O),0.0,0.01,1975,-2,221.0,
836,16 Nov 221.00 (SPY1625W221-P),0.0,0.02,1229,-2,221.0,
838,16 Nov 221.00 (SPY1625W221-X),0.0,0.01,3369,-2,221.0,
839,16 Nov 221.00 (SPY1625W221-Y),0.0,0.01,1624,-2,221.0,
840,16 Nov 221.50 (SPY1625W221.5),0.01,0.02,19070,-2,221.5,
841,16 Nov 221.50 (SPY1625W221.5-3),0.0,0.02,456,-2,221.5,
842,16 Nov 221.50 (SPY1625W221.5-4),0.0,0.02,1053,-2,221.5,
844,16 Nov 221.50 (SPY1625W221.5-A),0.0,0.02,426,-2,221.5,
845,16 Nov 221.50 (SPY1625W221.5-B),0.0,0.02,229,-2,221.5,
846,16 Nov 221.50 (SPY1625W221.5-E),0.0,0.03,3344,-2,221.5,
847,16 Nov 221.50 (SPY1625W221.5-I),0.0,0.02,5861,-2,221.5,
850,16 Nov 221.50 (SPY1625W221.5-O),0.0,0.02,2610,-2,221.5,
851,16 Nov 221.50 (SPY1625W221.5-P),0.0,0.02,3281,-2,221.5,
853,16 Nov 221.50 (SPY1625W221.5-X),0.0,0.02,938,-2,221.5,
854,16 Nov 221.50 (SPY1625W221.5-Y),0.01,5.00,738,-2,221.5,
855,16 Nov 222.00 (SPY1625W222),0.28,0.38,2519,-2,222.0,0.0
857,16 Nov 222.00 (SPY1625W222-4),0.27,0.40,431,-2,222.0,0.0
860,16 Nov 222.00 (SPY1625W222-B),0.0,5.00,139,-2,222.0,
861,16 Nov 222.00 (SPY1625W222-E),0.25,2.23,251,-2,222.0,
862,16 Nov 222.00 (SPY1625W222-I),0.28,0.41,680,-2,222.0,0.0
865,16 Nov 222.00 (SPY1625W222-O),0.05,0.47,173,-2,222.0,0.0
866,16 Nov 222.00 (SPY1625W222-P),0.17,0.47,407,-2,222.0,0.0
870,16 Nov 222.50 (SPY1625W222.5),0.78,0.91,237,-2,222.5,0.0
885,16 Nov 223.00 (SPY1625W223),1.28,1.41,489,-2,223.0,0.0
891,16 Nov 223.00 (SPY1625W223-E),0.02,3.26,146,-2,223.0,
896,16 Nov 223.00 (SPY1625W223-P),1.17,1.51,114,-2,223.0,0.0
899,16 Nov 223.00 (SPY1625W223-Y),1.28,1.41,104,-2,223.0,0.0
900,16 Nov 223.50 (SPY1625W223.5),0.44,3.16,221,-2,223.5,0.0
907,16 Nov 223.50 (SPY1625W223.5-I),0.44,3.65,104,-2,223.5,
914,16 Nov 223.50 (SPY1625W223.5-Y),0.0,5.00,104,-2,223.5,
915,16 Nov 224.00 (SPY1625W224),0.93,4.08,211,-2,224.0,
929,16 Nov 224.00 (SPY1625W224-Y),0.0,5.00,105,-2,224.0,
930,16 Nov 224.50 (SPY1625W224.5),1.45,4.16,208,-2,224.5,0.0
937,16 Nov 224.50 (SPY1625W224.5-I),1.14,4.65,104,-2,224.5,0.0
944,16 Nov 224.50 (SPY1625W224.5-Y),0.50,5.50,104,-2,224.5,
945,16 Nov 225.00 (SPY1625W225),1.63,4.66,159,-2,225.0,0.0
1350,16 Nov 195.00 (SPY1630W195),0.0,0.01,400,-2,195.0,
1356,16 Nov 195.00 (SPY1630W195-E),0.0,0.02,291,-2,195.0,
1425,16 Nov 200.00 (SPY1630W200),0.0,0.01,1127,-2,200.0,
1438,16 Nov 200.00 (SPY1630W200-X),0.0,0.03,479,-2,200.0,
1440,16 Nov 200.50 (SPY1630W200.5),0.0,0.01,195,-2,200.5,
1470,16 Nov 201.50 (SPY1630W201.5),0.0,0.01,327,-2,201.5,
1485,16 Nov 202.00 (SPY1630W202),0.0,0.01,1197,-2,202.0,
1500,16 Nov 202.50 (SPY1630W202.5),0.0,0.01,261,-2,202.5,
1513,16 Nov 202.50 (SPY1630W202.5-X),0.0,0.02,211,-2,202.5,
1515,16 Nov 203.00 (SPY1630W203),0.01,0.02,225,-2,203.0,
1545,16 Nov 204.00 (SPY1630W204),0.01,0.02,151,-2,204.0,
1560,16 Nov 204.50 (SPY1630W204.5),0.01,0.02,120,-2,204.5,
1575,16 Nov 205.00 (SPY1630W205),0.01,0.02,408,-2,205.0,
1590,16 Nov 205.50 (SPY1630W205.5),0.01,0.02,1398,-2,205.5,
1605,16 Nov 206.00 (SPY1630W206),0.01,0.02,500,-2,206.0,
1635,16 Nov 207.00 (SPY1630W207),0.01,0.02,404,-2,207.0,
1650,16 Nov 207.50 (SPY1630W207.5),0.01,0.02,682,-2,207.5,
1680,16 Nov 208.50 (SPY1630W208.5),0.01,0.02,360,-2,208.5,
1695,16 Nov 209.00 (SPY1630W209),0.01,0.02,1339,-2,209.0,
1708,16 Nov 209.00 (SPY1630W209-X),0.01,0.03,130,-2,209.0,
1710,16 Nov 209.50 (SPY1630W209.5),0.01,0.02,1971,-2,209.5,
1712,16 Nov 209.50 (SPY1630W209.5-4),0.01,0.03,300,-2,209.5,
1723,16 Nov 209.50 (SPY1630W209.5-X),0.01,0.03,201,-2,209.5,
1725,16 Nov 210.00 (SPY1630W210),0.02,0.03,407,-2,210.0,
1740,16 Nov 210.50 (SPY1630W210.5),0.02,0.03,192,-2,210.5,
1755,16 Nov 211.00 (SPY1630W211),0.02,0.03,718,-2,211.0,
1800,16 Nov 212.50 (SPY1630W212.5),0.02,0.03,355,-2,212.5,
1815,16 Nov 213.00 (SPY1630W213),0.02,0.03,2447,-2,213.0,
1817,16 Nov 213.00 (SPY1630W213-4),0.02,0.04,153,-2,213.0,
1821,16 Nov 213.00 (SPY1630W213-E),0.02,0.04,113,-2,213.0,
1825,16 Nov 213.00 (SPY1630W213-O),0.02,0.03,1363,-2,213.0,
1829,16 Nov 213.00 (SPY1630W213-Y),0.0,0.05,483,-2,213.0,
1845,16 Nov 214.00 (SPY1630W214),0.03,0.04,847,-2,214.0,
1847,16 Nov 214.00 (SPY1630W214-4),0.02,0.05,231,-2,214.0,
1851,16 Nov 214.00 (SPY1630W214-E),0.02,0.05,264,-2,214.0,
1875,16 Nov 215.00 (SPY1630W215),0.04,0.05,301,-2,215.0,
1890,16 Nov 215.50 (SPY1630W215.5),0.04,0.05,1820,-2,215.5,
1896,16 Nov 215.50 (SPY1630W215.5-E),0.03,0.06,201,-2,215.5,
1897,16 Nov 215.50 (SPY1630W215.5-I),0.04,0.05,812,-2,215.5,
1904,16 Nov 215.50 (SPY1630W215.5-Y),0.04,0.05,744,-2,215.5,
1905,16 Nov 216.00 (SPY1630W216),0.05,0.06,804,-2,216.0,
1911,16 Nov 216.00 (SPY1630W216-E),0.04,0.07,142,-2,216.0,
1918,16 Nov 216.00 (SPY1630W216-X),0.03,0.06,270,-2,216.0,
1920,16 Nov 216.50 (SPY1630W216.5),0.06,0.07,990,-2,216.5,
1924,16 Nov 216.50 (SPY1630W216.5-A),0.04,0.07,225,-2,216.5,
1926,16 Nov 216.50 (SPY1630W216.5-E),0.04,0.08,250,-2,216.5,
1927,16 Nov 216.50 (SPY1630W216.5-I),0.06,0.07,130,-2,216.5,
1933,16 Nov 216.50 (SPY1630W216.5-X),0.04,0.07,165,-2,216.5,
1935,16 Nov 217.00 (SPY1630W217),0.06,0.08,3064,-2,217.0,
1936,16 Nov 217.00 (SPY1630W217-3),0.03,0.08,155,-2,217.0,
1941,16 Nov 217.00 (SPY1630W217-E),0.05,0.09,1043,-2,217.0,
1946,16 Nov 217.00 (SPY1630W217-P),0.05,0.08,1502,-2,217.0,
1950,16 Nov 217.50 (SPY1630W217.5),0.08,0.09,961,-2,217.5,
1956,16 Nov 217.50 (SPY1630W217.5-E),0.06,0.09,440,-2,217.5,
1965,16 Nov 218.00 (SPY1630W218),0.09,0.10,2955,-2,218.0,
1967,16 Nov 218.00 (SPY1630W218-4),0.08,0.11,360,-2,218.0,
1971,16 Nov 218.00 (SPY1630W218-E),0.07,0.11,464,-2,218.0,
1975,16 Nov 218.00 (SPY1630W218-O),0.08,0.10,129,-2,218.0,
1978,16 Nov 218.00 (SPY1630W218-X),0.07,0.10,900,-2,218.0,
1979,16 Nov 218.00 (SPY1630W218-Y),0.08,0.10,362,-2,218.0,
1980,16 Nov 218.50 (SPY1630W218.5),0.11,0.12,3720,-2,218.5,
1982,16 Nov 218.50 (SPY1630W218.5-4),0.10,0.13,102,-2,218.5,
1984,16 Nov 218.50 (SPY1630W218.5-A),0.09,0.13,131,-2,218.5,
1986,16 Nov 218.50 (SPY1630W218.5-E),0.09,0.13,110,-2,218.5,
1987,16 Nov 218.50 (SPY1630W218.5-I),0.11,0.12,1130,-2,218.5,
1994,16 Nov 218.50 (SPY1630W218.5-Y),0.10,0.13,1890,-2,218.5,
1995,16 Nov 219.00 (SPY1630W219),0.14,0.15,2980,-2,219.0,
1996,16 Nov 219.00 (SPY1630W219-3),0.14,0.16,227,-2,219.0,
1997,16 Nov 219.00 (SPY1630W219-4),0.13,0.16,258,-2,219.0,
2001,16 Nov 219.00 (SPY1630W219-E),0.13,0.17,1718,-2,219.0,
2002,16 Nov 219.00 (SPY1630W219-I),0.14,0.15,102,-2,219.0,
2008,16 Nov 219.00 (SPY1630W219-X),0.14,0.16,246,-2,219.0,
2010,16 Nov 219.50 (SPY1630W219.5),0.18,0.20,4562,-2,219.5,
2012,16 Nov 219.50 (SPY1630W219.5-4),0.18,0.20,170,-2,219.5,
2015,16 Nov 219.50 (SPY1630W219.5-B),0.18,0.20,208,-2,219.5,
2016,16 Nov 219.50 (SPY1630W219.5-E),0.18,0.21,1761,-2,219.5,
2017,16 Nov 219.50 (SPY1630W219.5-I),0.18,0.21,502,-2,219.5,
2023,16 Nov 219.50 (SPY1630W219.5-X),0.18,0.20,389,-2,219.5,
2025,16 Nov 220.00 (SPY1630W220),0.24,0.25,10512,-2,220.0,
2026,16 Nov 220.00 (SPY1630W220-3),0.24,0.26,454,-2,220.0,
2027,16 Nov 220.00 (SPY1630W220-4),0.23,0.27,468,-2,220.0,
2030,16 Nov 220.00 (SPY1630W220-B),0.24,0.27,326,-2,220.0,
2031,16 Nov 220.00 (SPY1630W220-E),0.23,0.27,1372,-2,220.0,
2032,16 Nov 220.00 (SPY1630W220-I),0.24,0.25,1451,-2,220.0,
2035,16 Nov 220.00 (SPY1630W220-O),0.24,0.26,970,-2,220.0,
2036,16 Nov 220.00 (SPY1630W220-P),0.24,0.26,115,-2,220.0,
2038,16 Nov 220.00 (SPY1630W220-X),0.24,0.27,1391,-2,220.0,
2039,16 Nov 220.00 (SPY1630W220-Y),0.24,0.27,1127,-2,220.0,
2040,16 Nov 220.50 (SPY1630W220.5),0.33,0.35,5631,-2,220.5,
2041,16 Nov 220.50 (SPY1630W220.5-3),0.16,0.35,316,-2,220.5,
2042,16 Nov 220.50 (SPY1630W220.5-4),0.32,0.36,516,-2,220.5,
2044,16 Nov 220.50 (SPY1630W220.5-A),0.32,0.37,177,-2,220.5,
2045,16 Nov 220.50 (SPY1630W220.5-B),0.32,0.37,119,-2,220.5,
2046,16 Nov 220.50 (SPY1630W220.5-E),0.31,0.37,922,-2,220.5,
2047,16 Nov 220.50 (SPY1630W220.5-I),0.33,0.36,877,-2,220.5,
2050,16 Nov 220.50 (SPY1630W220.5-O),0.32,0.36,413,-2,220.5,
2051,16 Nov 220.50 (SPY1630W220.5-P),0.32,0.35,712,-2,220.5,
2053,16 Nov 220.50 (SPY1630W220.5-X),0.32,0.37,311,-2,220.5,
2054,16 Nov 220.50 (SPY1630W220.5-Y),0.32,0.37,653,-2,220.5,
2055,16 Nov 221.00 (SPY1630W221),0.45,0.48,9975,-2,221.0,
2056,16 Nov 221.00 (SPY1630W221-3),0.22,0.48,515,-2,221.0,
2057,16 Nov 221.00 (SPY1630W221-4),0.44,0.49,1005,-2,221.0,
2059,16 Nov 221.00 (SPY1630W221-A),0.45,0.49,165,-2,221.0,
2060,16 Nov 221.00 (SPY1630W221-B),0.31,0.50,174,-2,221.0,
2061,16 Nov 221.00 (SPY1630W221-E),0.45,0.49,2303,-2,221.0,
2062,16 Nov 221.00 (SPY1630W221-I),0.45,0.49,2190,-2,221.0,
2065,16 Nov 221.00 (SPY1630W221-O),0.43,0.49,211,-2,221.0,
2066,16 Nov 221.00 (SPY1630W221-P),0.45,0.48,606,-2,221.0,
2068,16 Nov 221.00 (SPY1630W221-X),0.45,0.49,382,-2,221.0,
2070,16 Nov 221.50 (SPY1630W221.5),0.61,0.65,2105,-2,221.5,
2071,16 Nov 221.50 (SPY1630W221.5-3),0.0,0.65,216,-2,221.5,
2072,16 Nov 221.50 (SPY1630W221.5-4),0.61,0.67,387,-2,221.5,
2074,16 Nov 221.50 (SPY1630W221.5-A),0.61,0.67,196,-2,221.5,
2077,16 Nov 221.50 (SPY1630W221.5-I),0.61,0.67,725,-2,221.5,
2080,16 Nov 221.50 (SPY1630W221.5-O),0.61,0.67,134,-2,221.5,
2081,16 Nov 221.50 (SPY1630W221.5-P),0.61,0.66,169,-2,221.5,
2083,16 Nov 221.50 (SPY1630W221.5-X),0.61,0.67,103,-2,221.5,
2085,16 Nov 222.00 (SPY1630W222),0.86,0.90,2459,-2,222.0,
2087,16 Nov 222.00 (SPY1630W222-4),0.82,0.93,365,-2,222.0,
2089,16 Nov 222.00 (SPY1630W222-A),0.81,0.91,268,-2,222.0,
2090,16 Nov 222.00 (SPY1630W222-B),0.83,0.92,144,-2,222.0,
2091,16 Nov 222.00 (SPY1630W222-E),0.82,0.91,451,-2,222.0,
2092,16 Nov 222.00 (SPY1630W222-I),0.86,0.91,256,-2,222.0,
2095,16 Nov 222.00 (SPY1630W222-O),0.83,0.91,443,-2,222.0,
2096,16 Nov 222.00 (SPY1630W222-P),0.83,0.90,209,-2,222.0,
2098,16 Nov 222.00 (SPY1630W222-X),0.83,0.91,162,-2,222.0,
2100,16 Nov 222.50 (SPY1630W222.5),1.12,1.22,727,-2,222.5,
2104,16 Nov 222.50 (SPY1630W222.5-A),1.05,1.30,108,-2,222.5,
2107,16 Nov 222.50 (SPY1630W222.5-I),1.12,1.23,120,-2,222.5,
2111,16 Nov 222.50 (SPY1630W222.5-P),1.01,1.34,197,-2,222.5,
2145,16 Nov 224.00 (SPY1630W224),2.30,2.51,255,-2,224.0,0.0
2152,16 Nov 224.00 (SPY1630W224-I),2.28,2.55,150,-2,224.0,0.0
2155,16 Nov 224.00 (SPY1630W224-O),2.30,2.55,103,-2,224.0,0.0
2175,16 Nov 225.00 (SPY1630W225),3.24,3.50,223,-2,225.0,0.0
2186,16 Nov 225.00 (SPY1630W225-P),2.94,3.57,200,-2,225.0,0.0
2475,16 Dec 195.00 (SPY1602X195),0.0,0.01,104,29,195.0,0.154391341471
2490,16 Dec 196.00 (SPY1602X196),0.01,0.02,279,29,196.0,0.165892281012
2498,16 Dec 196.00 (SPY1602X196-J),0.0,0.02,243,29,196.0,0.158957353265
2610,16 Dec 200.00 (SPY1602X200),0.01,0.02,1016,29,200.0,0.140811450037
2625,16 Dec 200.50 (SPY1602X200.5),0.01,0.02,313,29,200.5,0.137685160049
2640,16 Dec 201.00 (SPY1602X201),0.01,0.02,159,29,201.0,0.13456019433
2653,16 Dec 201.00 (SPY1602X201-X),0.01,0.03,104,29,201.0,0.139116326684
2655,16 Dec 201.50 (SPY1602X201.5),0.01,0.02,3601,29,201.5,0.131436339278
2662,16 Dec 201.50 (SPY1602X201.5-I),0.01,0.02,1811,29,201.5,0.131436339278
2669,16 Dec 201.50 (SPY1602X201.5-Y),0.0,5.00,613,29,201.5,0.386327996527
2670,16 Dec 202.00 (SPY1602X202),0.01,0.02,2072,29,202.0,0.128313371073
2674,16 Dec 202.00 (SPY1602X202-A),0.01,0.03,500,29,202.0,0.132697018706
2683,16 Dec 202.00 (SPY1602X202-X),0.01,0.03,154,29,202.0,0.132697018706
2685,16 Dec 202.50 (SPY1602X202.5),0.01,0.02,806,29,202.5,0.125191054771
2689,16 Dec 202.50 (SPY1602X202.5-A),0.0,0.03,400,29,202.5,0.125191054771
2700,16 Dec 203.00 (SPY1602X203),0.01,0.02,500,29,203.0,0.122069143293
2715,16 Dec 203.50 (SPY1602X203.5),0.02,0.03,1000,29,203.5,0.126521925778
2745,16 Dec 204.50 (SPY1602X204.5),0.01,0.02,520,29,204.5,0.112703160334
2775,16 Dec 205.50 (SPY1602X205.5),0.02,0.03,1117,29,205.5,0.113387521135
2788,16 Dec 205.50 (SPY1602X205.5-X),0.02,0.04,115,29,205.5,0.116140880082
2805,16 Dec 206.50 (SPY1602X206.5),0.02,0.03,969,29,206.5,0.106808750663
2818,16 Dec 206.50 (SPY1602X206.5-X),0.02,0.04,384,29,206.5,0.109435464082
2820,16 Dec 207.00 (SPY1602X207),0.02,0.03,273,29,207.0,0.103515012241
2895,16 Dec 209.50 (SPY1602X209.5),0.03,0.04,232,29,209.5,0.0912226094437
2901,16 Dec 209.50 (SPY1602X209.5-E),0.03,0.05,198,29,209.5,0.0930473283546
2910,16 Dec 210.00 (SPY1602X210),0.04,0.05,1925,29,210.0,0.0911803973523
2916,16 Dec 210.00 (SPY1602X210-E),0.03,0.06,1071,29,210.0,0.0911803973523
2923,16 Dec 210.00 (SPY1602X210-X),0.04,0.05,705,29,210.0,0.0911803973523
2925,16 Dec 210.50 (SPY1602X210.5),0.04,0.05,331,29,210.5,0.0876205326463
2940,16 Dec 211.00 (SPY1602X211),0.04,0.05,3707,29,211.0,0.0840501321323
2946,16 Dec 211.00 (SPY1602X211-E),0.03,0.06,1096,29,211.0,0.0840501321323
2953,16 Dec 211.00 (SPY1602X211-X),0.04,0.06,2553,29,211.0,0.0854837446486
2955,16 Dec 211.50 (SPY1602X211.5),0.04,0.05,942,29,211.5,0.0804680263702
2961,16 Dec 211.50 (SPY1602X211.5-E),0.04,0.07,782,29,211.5,0.0831604262752
2969,16 Dec 211.50 (SPY1602X211.5-Y),0.04,0.06,150,29,211.5,0.0818557872237
2970,16 Dec 212.00 (SPY1602X212),0.05,0.06,2924,29,212.0,0.0794757948358
2983,16 Dec 212.00 (SPY1602X212-X),0.05,0.06,750,29,212.0,0.0794757948358
2985,16 Dec 212.50 (SPY1602X212.5),0.05,0.06,965,29,212.5,0.0757755844475
2992,16 Dec 212.50 (SPY1602X212.5-I),0.05,0.06,300,29,212.5,0.0757755844475
2998,16 Dec 212.50 (SPY1602X212.5-X),0.05,0.06,250,29,212.5,0.0757755844475
3000,16 Dec 213.00 (SPY1602X213),0.06,0.07,104,29,213.0,0.0742272212857
3015,16 Dec 213.50 (SPY1602X213.5),0.06,0.07,401,29,213.5,0.0704086028381
3029,16 Dec 213.50 (SPY1602X213.5-Y),0.06,0.07,280,29,213.5,0.0704086028381
3030,16 Dec 214.00 (SPY1602X214),0.07,0.08,2578,29,214.0,0.0684006686842
3031,16 Dec 214.00 (SPY1602X214-3),0.07,0.08,210,29,214.0,0.0684006686842
3032,16 Dec 214.00 (SPY1602X214-4),0.06,0.09,900,29,214.0,0.0684006686842
3036,16 Dec 214.00 (SPY1602X214-E),0.06,0.09,161,29,214.0,0.0684006686842
3043,16 Dec 214.00 (SPY1602X214-X),0.06,0.08,1167,29,214.0,0.0675025182009
3045,16 Dec 214.50 (SPY1602X214.5),0.07,0.09,915,29,214.5,0.0652873516386
3058,16 Dec 214.50 (SPY1602X214.5-X),0.06,0.09,748,29,214.5,0.0644575921034
3060,16 Dec 215.00 (SPY1602X215),0.09,0.10,2950,29,215.0,0.0635095172323
3062,16 Dec 215.00 (SPY1602X215-4),0.08,0.10,672,29,215.0,0.0627881790766
3066,16 Dec 215.00 (SPY1602X215-E),0.07,0.10,559,29,215.0,0.0620450232547
3073,16 Dec 215.00 (SPY1602X215-X),0.07,0.10,1383,29,215.0,0.0620450232547
3075,16 Dec 215.50 (SPY1602X215.5),0.10,0.11,896,29,215.5,0.0606866333238
3088,16 Dec 215.50 (SPY1602X215.5-X),0.08,0.11,754,29,215.5,0.0593633722677
3090,16 Dec 216.00 (SPY1602X216),0.11,0.12,8147,29,216.0,0.0576357220612
3097,16 Dec 216.00 (SPY1602X216-I),0.11,0.12,254,29,216.0,0.0576357220612
3103,16 Dec 216.00 (SPY1602X216-X),0.10,0.12,5184,29,216.0,0.0570420323104
3104,16 Dec 216.00 (SPY1602X216-Y),0.11,0.13,1896,29,216.0,0.0582167301566
3105,16 Dec 216.50 (SPY1602X216.5),0.12,0.14,1717,29,216.5,0.0548963755526
3111,16 Dec 216.50 (SPY1602X216.5-E),0.11,0.15,143,29,216.5,0.0548963755526
3112,16 Dec 216.50 (SPY1602X216.5-I),0.12,0.14,325,29,216.5,0.0548963755526
3118,16 Dec 216.50 (SPY1602X216.5-X),0.12,0.14,170,29,216.5,0.0548963755526
3119,16 Dec 216.50 (SPY1602X216.5-Y),0.0,0.14,858,29,216.5,0.047628004374
3120,16 Dec 217.00 (SPY1602X217),0.15,0.16,1916,29,217.0,0.05277616249
3121,16 Dec 217.00 (SPY1602X217-3),0.15,0.16,102,29,217.0,0.05277616249
3122,16 Dec 217.00 (SPY1602X217-4),0.14,0.17,137,29,217.0,0.05277616249
3126,16 Dec 217.00 (SPY1602X217-E),0.13,0.17,415,29,217.0,0.0523125751589
3127,16 Dec 217.00 (SPY1602X217-I),0.15,0.16,104,29,217.0,0.05277616249
3133,16 Dec 217.00 (SPY1602X217-X),0.14,0.16,740,29,217.0,0.0523125751589
3135,16 Dec 217.50 (SPY1602X217.5),0.18,0.19,5195,29,217.5,0.0505653297099
3136,16 Dec 217.50 (SPY1602X217.5-3),0.17,0.19,137,29,217.5,0.0501591727781
3140,16 Dec 217.50 (SPY1602X217.5-B),0.16,0.19,195,29,217.5,0.0497483604038
3141,16 Dec 217.50 (SPY1602X217.5-E),0.16,0.20,610,29,217.5,0.0501591727781
3143,16 Dec 217.50 (SPY1602X217.5-J),0.17,0.19,567,29,217.5,0.0501591727781
3148,16 Dec 217.50 (SPY1602X217.5-X),0.17,0.19,2484,29,217.5,0.0501591727781
3150,16 Dec 218.00 (SPY1602X218),0.21,0.22,10332,29,218.0,0.047814974232
3151,16 Dec 218.00 (SPY1602X218-3),0.21,0.23,193,29,218.0,0.0481729030401
3152,16 Dec 218.00 (SPY1602X218-4),0.20,0.23,219,29,218.0,0.047814974232
3155,16 Dec 218.00 (SPY1602X218-B),0.16,0.23,107,29,218.0,0.0463509676312
3156,16 Dec 218.00 (SPY1602X218-E),0.20,0.24,2174,29,218.0,0.0481729030401
3157,16 Dec 218.00 (SPY1602X218-I),0.21,0.22,1144,29,218.0,0.047814974232
3163,16 Dec 218.00 (SPY1602X218-X),0.20,0.23,4852,29,218.0,0.047814974232
3164,16 Dec 218.00 (SPY1602X218-Y),0.17,0.23,271,29,218.0,0.0467220847262
