,Calls,Bid,Ask,Vol,Expiration,Strike,Call IV
815,16 Nov 220.50 (SPY1625K220.5-B),0.01,4.81,569,-2,220.5,
816,16 Nov 220.50 (SPY1625K220.5-E),0.01,2.99,2302,-2,220.5,
817,16 Nov 220.50 (SPY1625K220.5-I),1.09,1.22,1342,-2,220.5,
820,16 Nov 220.50 (SPY1625K220.5-O),1.09,1.22,729,-2,220.5,
821,16 Nov 220.50 (SPY1625K220.5-P),1.01,1.30,1481,-2,220.5,
823,16 Nov 220.50 (SPY1625K220.5-X),1.00,1.32,1637,-2,220.5,
824,16 Nov 220.50 (SPY1625K220.5-Y),1.09,1.22,742,-2,220.5,
825,16 Nov 221.00 (SPY1625K221),0.60,0.70,61927,-2,221.0,
826,16 Nov 221.00 (SPY1625K221-3),0.0,1.83,1349,-2,221.0,
827,16 Nov 221.00 (SPY1625K221-4),0.59,0.74,1150,-2,221.0,
829,16 Nov 221.00 (SPY1625K221-A),0.52,0.82,21651,-2,221.0,
830,16 Nov 221.00 (SPY1625K221-B),0.0,4.69,1011,-2,221.0,
831,16 Nov 221.00 (SPY1625K221-E),0.01,2.50,6058,-2,221.0,
832,16 Nov 221.00 (SPY1625K221-I),0.60,0.73,8968,-2,221.0,
835,16 Nov 221.00 (SPY1625K221-O),0.60,0.70,7586,-2,221.0,
836,16 Nov 221.00 (SPY1625K221-P),0.53,0.80,3547,-2,221.0,
838,16 Nov 221.00 (SPY1625K221-X),0.49,0.82,1947,-2,221.0,
839,16 Nov 221.00 (SPY1625K221-Y),0.60,0.73,756,-2,221.0,
840,16 Nov 221.50 (SPY1625K221.5),0.13,0.19,23638,-2,221.5,
841,16 Nov 221.50 (SPY1625K221.5-3),0.03,1.31,1511,-2,221.5,
842,16 Nov 221.50 (SPY1625K221.5-4),0.10,0.24,2488,-2,221.5,
844,16 Nov 221.50 (SPY1625K221.5-A),0.04,0.33,571,-2,221.5,
845,16 Nov 221.50 (SPY1625K221.5-B),0.0,3.79,159,-2,221.5,
846,16 Nov 221.50 (SPY1625K221.5-E),0.01,2.01,2860,-2,221.5,
847,16 Nov 221.50 (SPY1625K221.5-I),0.11,0.19,4239,-2,221.5,
850,16 Nov 221.50 (SPY1625K221.5-O),0.11,0.23,1733,-2,221.5,
851,16 Nov 221.50 (SPY1625K221.5-P),0.13,0.29,1296,-2,221.5,
853,16 Nov 221.50 (SPY1625K221.5-X),0.03,0.29,4260,-2,221.5,
854,16 Nov 221.50 (SPY1625K221.5-Y),0.11,0.23,1790,-2,221.5,
855,16 Nov 222.00 (SPY1625K222),0.0,0.01,3910,-2,222.0,
859,16 Nov 222.00 (SPY1625K222-A),0.0,0.01,819,-2,222.0,
860,16 Nov 222.00 (SPY1625K222-B),0.0,0.01,121,-2,222.0,
861,16 Nov 222.00 (SPY1625K222-E),0.0,0.02,285,-2,222.0,
868,16 Nov 222.00 (SPY1625K222-X),0.0,0.01,198,-2,222.0,
869,16 Nov 222.00 (SPY1625K222-Y),0.0,0.12,171,-2,222.0,
870,16 Nov 222.50 (SPY1625K222.5),0.0,0.01,1747,-2,222.5,
876,16 Nov 222.50 (SPY1625K222.5-E),0.0,0.02,700,-2,222.5,
885,16 Nov 223.00 (SPY1625K223),0.0,0.01,237,-2,223.0,
891,16 Nov 223.00 (SPY1625K223-E),0.0,0.01,158,-2,223.0,
945,16 Nov 225.00 (SPY1625K225),0.0,0.01,140,-2,225.0,
1875,16 Nov 215.00 (SPY1630K215),6.62,6.88,126,-2,215.0,
1935,16 Nov 217.00 (SPY1630K217),4.64,4.90,399,-2,217.0,
1948,16 Nov 217.00 (SPY1630K217-X),4.62,4.90,237,-2,217.0,
1965,16 Nov 218.00 (SPY1630K218),3.65,3.93,717,-2,218.0,
1971,16 Nov 218.00 (SPY1630K218-E),1.88,5.59,140,-2,218.0,
1978,16 Nov 218.00 (SPY1630K218-X),3.65,3.93,218,-2,218.0,
1980,16 Nov 218.50 (SPY1630K218.5),3.22,3.45,312,-2,218.5,
1990,16 Nov 218.50 (SPY1630K218.5-O),3.12,3.48,216,-2,218.5,
1995,16 Nov 219.00 (SPY1630K219),2.71,2.98,201,-2,219.0,
2010,16 Nov 219.50 (SPY1630K219.5),2.26,2.51,477,-2,219.5,
2014,16 Nov 219.50 (SPY1630K219.5-A),2.26,2.51,106,-2,219.5,
2025,16 Nov 220.00 (SPY1630K220),1.83,2.06,5128,-2,220.0,
2026,16 Nov 220.00 (SPY1630K220-3),0.46,2.07,211,-2,220.0,0.0
2031,16 Nov 220.00 (SPY1630K220-E),0.31,3.75,453,-2,220.0,
2032,16 Nov 220.00 (SPY1630K220-I),1.70,2.15,542,-2,220.0,
2035,16 Nov 220.00 (SPY1630K220-O),1.70,2.15,2431,-2,220.0,
2036,16 Nov 220.00 (SPY1630K220-P),1.70,2.15,618,-2,220.0,
2038,16 Nov 220.00 (SPY1630K220-X),1.83,2.06,176,-2,220.0,
2039,16 Nov 220.00 (SPY1630K220-Y),1.83,2.06,159,-2,220.0,
2040,16 Nov 220.50 (SPY1630K220.5),1.46,1.57,3038,-2,220.5,
2041,16 Nov 220.50 (SPY1630K220.5-3),0.26,1.58,334,-2,220.5,0.0
2044,16 Nov 220.50 (SPY1630K220.5-A),1.40,1.65,133,-2,220.5,
2045,16 Nov 220.50 (SPY1630K220.5-B),0.0,1.74,115,-2,220.5,0.0
2046,16 Nov 220.50 (SPY1630K220.5-E),0.53,3.36,686,-2,220.5,
2047,16 Nov 220.50 (SPY1630K220.5-I),1.46,1.58,107,-2,220.5,
2050,16 Nov 220.50 (SPY1630K220.5-O),1.46,1.57,320,-2,220.5,
2051,16 Nov 220.50 (SPY1630K220.5-P),1.45,1.68,354,-2,220.5,
2053,16 Nov 220.50 (SPY1630K220.5-X),1.43,1.64,311,-2,220.5,
2054,16 Nov 220.50 (SPY1630K220.5-Y),0.0,5.00,157,-2,220.5,
2055,16 Nov 221.00 (SPY1630K221),1.11,1.14,9924,-2,221.0,
2056,16 Nov 221.00 (SPY1630K221-3),0.14,2.27,510,-2,221.0,
2057,16 Nov 221.00 (SPY1630K221-4),1.09,1.19,239,-2,221.0,
2059,16 Nov 221.00 (SPY1630K221-A),1.08,1.17,285,-2,221.0,
2061,16 Nov 221.00 (SPY1630K221-E),0.49,2.98,1403,-2,221.0,
2062,16 Nov 221.00 (SPY1630K221-I),1.11,1.14,1267,-2,221.0,
2065,16 Nov 221.00 (SPY1630K221-O),1.10,1.17,3957,-2,221.0,
2066,16 Nov 221.00 (SPY1630K221-P),1.10,1.17,244,-2,221.0,
2068,16 Nov 221.00 (SPY1630K221-X),1.10,1.18,243,-2,221.0,
2069,16 Nov 221.00 (SPY1630K221-Y),0.0,2.99,751,-2,221.0,
2070,16 Nov 221.50 (SPY1630K221.5),0.79,0.82,16702,-2,221.5,
2071,16 Nov 221.50 (SPY1630K221.5-3),0.0,1.94,399,-2,221.5,
2072,16 Nov 221.50 (SPY1630K221.5-4),0.76,0.87,807,-2,221.5,
2074,16 Nov 221.50 (SPY1630K221.5-A),0.77,0.85,455,-2,221.5,
2075,16 Nov 221.50 (SPY1630K221.5-B),0.68,0.85,147,-2,221.5,
2076,16 Nov 221.50 (SPY1630K221.5-E),0.77,0.85,1382,-2,221.5,
2077,16 Nov 221.50 (SPY1630K221.5-I),0.79,0.83,1239,-2,221.5,
2080,16 Nov 221.50 (SPY1630K221.5-O),0.79,0.82,841,-2,221.5,
2081,16 Nov 221.50 (SPY1630K221.5-P),0.79,0.84,6029,-2,221.5,
2083,16 Nov 221.50 (SPY1630K221.5-X),0.78,0.85,1209,-2,221.5,
2084,16 Nov 221.50 (SPY1630K221.5-Y),0.78,0.86,1343,-2,221.5,
2085,16 Nov 222.00 (SPY1630K222),0.53,0.55,17560,-2,222.0,
2086,16 Nov 222.00 (SPY1630K222-3),0.53,1.66,336,-2,222.0,
2087,16 Nov 222.00 (SPY1630K222-4),0.53,0.59,877,-2,222.0,
2089,16 Nov 222.00 (SPY1630K222-A),0.52,0.58,104,-2,222.0,
2091,16 Nov 222.00 (SPY1630K222-E),0.50,0.60,1247,-2,222.0,
2092,16 Nov 222.00 (SPY1630K222-I),0.53,0.57,6308,-2,222.0,
2095,16 Nov 222.00 (SPY1630K222-O),0.52,0.55,3055,-2,222.0,
2096,16 Nov 222.00 (SPY1630K222-P),0.52,0.55,1128,-2,222.0,
2098,16 Nov 222.00 (SPY1630K222-X),0.53,0.58,737,-2,222.0,
2099,16 Nov 222.00 (SPY1630K222-Y),0.51,0.58,2421,-2,222.0,
2100,16 Nov 222.50 (SPY1630K222.5),0.34,0.36,1352,-2,222.5,
2104,16 Nov 222.50 (SPY1630K222.5-A),0.33,0.37,102,-2,222.5,
2106,16 Nov 222.50 (SPY1630K222.5-E),0.33,0.38,320,-2,222.5,
2110,16 Nov 222.50 (SPY1630K222.5-O),0.34,0.37,162,-2,222.5,
2114,16 Nov 222.50 (SPY1630K222.5-Y),0.32,0.37,101,-2,222.5,
2115,16 Nov 223.00 (SPY1630K223),0.21,0.23,6338,-2,223.0,
2116,16 Nov 223.00 (SPY1630K223-3),0.21,0.23,115,-2,223.0,
2117,16 Nov 223.00 (SPY1630K223-4),0.20,0.23,2191,-2,223.0,
2121,16 Nov 223.00 (SPY1630K223-E),0.20,0.24,2018,-2,223.0,
2122,16 Nov 223.00 (SPY1630K223-I),0.21,0.23,560,-2,223.0,
2125,16 Nov 223.00 (SPY1630K223-O),0.21,0.23,256,-2,223.0,
2126,16 Nov 223.00 (SPY1630K223-P),0.21,0.23,159,-2,223.0,
2128,16 Nov 223.00 (SPY1630K223-X),0.20,0.23,276,-2,223.0,
2130,16 Nov 223.50 (SPY1630K223.5),0.13,0.15,1843,-2,223.5,
2131,16 Nov 223.50 (SPY1630K223.5-3),0.13,0.15,212,-2,223.5,
2136,16 Nov 223.50 (SPY1630K223.5-E),0.12,0.15,188,-2,223.5,
2143,16 Nov 223.50 (SPY1630K223.5-X),0.12,0.15,1060,-2,223.5,
2145,16 Nov 224.00 (SPY1630K224),0.08,0.10,2542,-2,224.0,
2151,16 Nov 224.00 (SPY1630K224-E),0.08,0.10,2259,-2,224.0,
2160,16 Nov 224.50 (SPY1630K224.5),0.06,0.07,980,-2,224.5,
2167,16 Nov 224.50 (SPY1630K224.5-I),0.06,0.07,650,-2,224.5,
2173,16 Nov 224.50 (SPY1630K224.5-X),0.04,0.07,109,-2,224.5,
2175,16 Nov 225.00 (SPY1630K225),0.05,0.06,491,-2,225.0,
2181,16 Nov 225.00 (SPY1630K225-E),0.04,0.07,345,-2,225.0,
2190,16 Nov 225.50 (SPY1630K225.5),0.04,0.05,1820,-2,225.5,
2194,16 Nov 225.50 (SPY1630K225.5-A),0.03,0.05,235,-2,225.5,
2196,16 Nov 225.50 (SPY1630K225.5-E),0.01,0.06,145,-2,225.5,
2203,16 Nov 225.50 (SPY1630K225.5-X),0.02,0.05,1411,-2,225.5,
2205,16 Nov 226.00 (SPY1630K226),0.03,0.04,410,-2,226.0,
2218,16 Nov 226.00 (SPY1630K226-X),0.01,0.04,400,-2,226.0,
2265,16 Nov 228.00 (SPY1630K228),0.02,0.03,199,-2,228.0,
2400,16 Nov 235.00 (SPY1630K235),0.01,0.02,12687,-2,235.0,
2406,16 Nov 235.00 (SPY1630K235-E),0.0,0.02,747,-2,235.0,
3090,16 Dec 216.00 (SPY1602L216),5.72,5.95,582,29,216.0,0.0988512856972
3096,16 Dec 216.00 (SPY1602L216-E),3.90,7.62,177,29,216.0,0.094398524608
3100,16 Dec 216.00 (SPY1602L216-O),5.60,6.01,360,29,216.0,0.0970886119085
3120,16 Dec 217.00 (SPY1602L217),4.73,4.99,766,29,217.0,0.0881963319754
3122,16 Dec 217.00 (SPY1602L217-4),3.02,6.53,102,29,217.0,0.0834910809573
3126,16 Dec 217.00 (SPY1602L217-E),4.47,6.66,114,29,217.0,0.123475722919
3131,16 Dec 217.00 (SPY1602L217-P),4.47,5.07,122,29,217.0,0.0832091090224
3133,16 Dec 217.00 (SPY1602L217-X),4.73,4.99,345,29,217.0,0.0881963319754
3150,16 Dec 218.00 (SPY1602L218),3.79,4.00,310,29,218.0,0.0773726910489
3156,16 Dec 218.00 (SPY1602L218-E),2.00,4.00,171,29,218.0,0.0
3180,16 Dec 219.00 (SPY1602L219),2.90,3.13,209,29,219.0,0.0695102691927
3195,16 Dec 219.50 (SPY1602L219.5),2.48,2.69,1231,29,219.5,0.0653014241808
3196,16 Dec 219.50 (SPY1602L219.5-3),0.92,2.70,116,29,219.5,0.0271379858789
3200,16 Dec 219.50 (SPY1602L219.5-B),0.88,2.81,122,29,219.5,0.0293609169096
3201,16 Dec 219.50 (SPY1602L219.5-E),0.68,4.40,263,29,219.5,0.0633179432503
3205,16 Dec 219.50 (SPY1602L219.5-O),2.36,2.81,118,29,219.5,0.0653014241808
3206,16 Dec 219.50 (SPY1602L219.5-P),2.36,2.81,153,29,219.5,0.0653014241808
3208,16 Dec 219.50 (SPY1602L219.5-X),2.48,2.69,166,29,219.5,0.0653014241808
3210,16 Dec 220.00 (SPY1602L220),2.11,2.21,2082,29,220.0,0.060716019561
3211,16 Dec 220.00 (SPY1602L220-3),0.57,2.22,123,29,220.0,0.0262922820122
3216,16 Dec 220.00 (SPY1602L220-E),1.27,3.00,469,29,220.0,0.0596569347106
3217,16 Dec 220.00 (SPY1602L220-I),2.11,2.22,385,29,220.0,0.0609276215341
3221,16 Dec 220.00 (SPY1602L220-P),2.00,2.33,432,29,220.0,0.0609276215341
3223,16 Dec 220.00 (SPY1602L220-X),2.07,2.27,197,29,220.0,0.0611391536901
3225,16 Dec 220.50 (SPY1602L220.5),1.72,1.82,2328,29,220.5,0.0568676864238
3226,16 Dec 220.50 (SPY1602L220.5-3),0.39,1.83,222,29,220.5,0.0293360352036
3227,16 Dec 220.50 (SPY1602L220.5-4),1.71,1.84,161,29,220.5,0.0570728083633
3231,16 Dec 220.50 (SPY1602L220.5-E),1.34,3.61,173,29,220.5,0.0856195911556
3232,16 Dec 220.50 (SPY1602L220.5-I),1.72,1.83,470,29,220.5,0.0570728083633
3235,16 Dec 220.50 (SPY1602L220.5-O),1.72,1.82,105,29,220.5,0.0568676864238
3236,16 Dec 220.50 (SPY1602L220.5-P),1.62,1.94,394,29,220.5,0.0572779042672
3238,16 Dec 220.50 (SPY1602L220.5-X),1.69,1.88,561,29,220.5,0.0574829744215
3240,16 Dec 221.00 (SPY1602L221),1.40,1.45,17330,29,221.0,0.0539126406469
3241,16 Dec 221.00 (SPY1602L221-3),0.21,1.47,266,29,221.0,0.030310173547
3242,16 Dec 221.00 (SPY1602L221-4),1.36,1.48,856,29,221.0,0.053711103942
3244,16 Dec 221.00 (SPY1602L221-A),1.39,1.47,906,29,221.0,0.0541141755053
3245,16 Dec 221.00 (SPY1602L221-B),1.36,1.47,452,29,221.0,0.0535095653691
3246,16 Dec 221.00 (SPY1602L221-E),1.27,1.58,2644,29,221.0,0.0539126406469
3247,16 Dec 221.00 (SPY1602L221-I),1.40,1.45,1891,29,221.0,0.0539126406469
3250,16 Dec 221.00 (SPY1602L221-O),1.39,1.45,351,29,221.0,0.053711103942
3251,16 Dec 221.00 (SPY1602L221-P),1.40,1.46,3370,29,221.0,0.0541141755053
3253,16 Dec 221.00 (SPY1602L221-X),1.40,1.47,1572,29,221.0,0.0543157085384
3254,16 Dec 221.00 (SPY1602L221-Y),0.0,5.00,590,29,221.0,0.0972199011664
3255,16 Dec 221.50 (SPY1602L221.5),1.08,1.12,6536,29,221.5,0.0506164429188
3256,16 Dec 221.50 (SPY1602L221.5-3),0.05,1.15,185,29,221.5,0.0303251699759
3257,16 Dec 221.50 (SPY1602L221.5-4),1.04,1.14,267,29,221.5,0.0502120899707
3259,16 Dec 221.50 (SPY1602L221.5-A),1.06,1.15,223,29,221.5,0.0508186060342
3260,16 Dec 221.50 (SPY1602L221.5-B),1.04,1.14,157,29,221.5,0.0502120899707
3261,16 Dec 221.50 (SPY1602L221.5-E),1.03,1.17,916,29,221.5,0.0506164429188
3262,16 Dec 221.50 (SPY1602L221.5-I),1.08,1.12,1581,29,221.5,0.0506164429188
3265,16 Dec 221.50 (SPY1602L221.5-O),1.07,1.13,1198,29,221.5,0.0506164429188
3266,16 Dec 221.50 (SPY1602L221.5-P),1.07,1.13,283,29,221.5,0.0506164429188
3268,16 Dec 221.50 (SPY1602L221.5-X),1.06,1.14,666,29,221.5,0.0506164429188
3269,16 Dec 221.50 (SPY1602L221.5-Y),1.06,1.15,555,29,221.5,0.0508186060342
3270,16 Dec 222.00 (SPY1602L222),0.83,0.85,8409,29,222.0,0.048615960065
3271,16 Dec 222.00 (SPY1602L222-3),0.81,0.85,239,29,222.0,0.0481988145047
3272,16 Dec 222.00 (SPY1602L222-4),0.81,0.86,576,29,222.0,0.0484074212684
3274,16 Dec 222.00 (SPY1602L222-A),0.79,0.86,130,29,222.0,0.0479901388417
3275,16 Dec 222.00 (SPY1602L222-B),0.70,0.87,174,29,222.0,0.0463181352729
3276,16 Dec 222.00 (SPY1602L222-E),0.78,0.88,2368,29,222.0,0.0481988145047
3277,16 Dec 222.00 (SPY1602L222-I),0.81,0.86,1268,29,222.0,0.0484074212684
3280,16 Dec 222.00 (SPY1602L222-O),0.81,0.86,314,29,222.0,0.0484074212684
3281,16 Dec 222.00 (SPY1602L222-P),0.83,0.86,105,29,222.0,0.0488244318096
3283,16 Dec 222.00 (SPY1602L222-X),0.80,0.87,824,29,222.0,0.0484074212684
3284,16 Dec 222.00 (SPY1602L222-Y),0.81,0.86,480,29,222.0,0.0484074212684
3285,16 Dec 222.50 (SPY1602L222.5),0.59,0.62,5204,29,222.5,0.0461349228974
3286,16 Dec 222.50 (SPY1602L222.5-3),0.59,0.62,441,29,222.5,0.0461349228974
3290,16 Dec 222.50 (SPY1602L222.5-B),0.57,0.63,109,29,222.5,0.0459116494435
3291,16 Dec 222.50 (SPY1602L222.5-E),0.58,0.64,1326,29,222.5,0.0463579663488
3292,16 Dec 222.50 (SPY1602L222.5-I),0.59,0.62,1099,29,222.5,0.0461349228974
3295,16 Dec 222.50 (SPY1602L222.5-O),0.59,0.63,501,29,222.5,0.0463579663488
3296,16 Dec 222.50 (SPY1602L222.5-P),0.58,0.63,424,29,222.5,0.0461349228974
3298,16 Dec 222.50 (SPY1602L222.5-X),0.58,0.63,133,29,222.5,0.0461349228974
3299,16 Dec 222.50 (SPY1602L222.5-Y),0.56,0.63,564,29,222.5,0.0456881421288
3300,16 Dec 223.00 (SPY1602L223),0.41,0.44,4396,29,223.0,0.0443970995858
3301,16 Dec 223.00 (SPY1602L223-3),0.41,0.44,181,29,223.0,0.0443970995858
3304,16 Dec 223.00 (SPY1602L223-A),0.40,0.45,115,29,223.0,0.0443970995858
3306,16 Dec 223.00 (SPY1602L223-E),0.40,0.45,1282,29,223.0,0.0443970995858
3307,16 Dec 223.00 (SPY1602L223-I),0.41,0.44,620,29,223.0,0.0443970995858
3310,16 Dec 223.00 (SPY1602L223-O),0.41,0.44,429,29,223.0,0.0443970995858
3311,16 Dec 223.00 (SPY1602L223-P),0.41,0.44,218,29,223.0,0.0443970995858
3313,16 Dec 223.00 (SPY1602L223-X),0.41,0.45,493,29,223.0,0.0446457833169
3314,16 Dec 223.00 (SPY1602L223-Y),0.41,0.45,347,29,223.0,0.0446457833169
3315,16 Dec 223.50 (SPY1602L223.5),0.28,0.30,34610,29,223.5,0.0431124168608
3316,16 Dec 223.50 (SPY1602L223.5-3),0.28,0.32,162,29,223.5,0.0436904866811
3317,16 Dec 223.50 (SPY1602L223.5-4),0.28,0.31,400,29,223.5,0.0434021590451
3319,16 Dec 223.50 (SPY1602L223.5-A),0.28,0.32,20297,29,223.5,0.0436904866811
3320,16 Dec 223.50 (SPY1602L223.5-B),0.28,0.31,113,29,223.5,0.0434021590451
3321,16 Dec 223.50 (SPY1602L223.5-E),0.27,0.32,1806,29,223.5,0.0434021590451
3322,16 Dec 223.50 (SPY1602L223.5-I),0.28,0.30,690,29,223.5,0.0431124168608
3323,16 Dec 223.50 (SPY1602L223.5-J),0.28,0.31,191,29,223.5,0.0434021590451
3325,16 Dec 223.50 (SPY1602L223.5-O),0.28,0.30,585,29,223.5,0.0431124168608
3328,16 Dec 223.50 (SPY1602L223.5-X),0.28,0.31,618,29,223.5,0.0434021590451
3329,16 Dec 223.50 (SPY1602L223.5-Y),0.27,0.32,202,29,223.5,0.0434021590451
3330,16 Dec 224.00 (SPY1602L224),0.19,0.20,3942,29,224.0,0.0423603531103
3331,16 Dec 224.00 (SPY1602L224-3),0.19,0.22,142,29,224.0,0.043059259995
3332,16 Dec 224.00 (SPY1602L224-4),0.19,0.22,152,29,224.0,0.043059259995
3336,16 Dec 224.00 (SPY1602L224-E),0.18,0.22,356,29,224.0,0.0427114030591
3337,16 Dec 224.00 (SPY1602L224-I),0.19,0.21,796,29,224.0,0.0427114030591
3340,16 Dec 224.00 (SPY1602L224-O),0.19,0.20,172,29,224.0,0.0423603531103
3343,16 Dec 224.00 (SPY1602L224-X),0.19,0.22,905,29,224.0,0.043059259995
3345,16 Dec 224.50 (SPY1602L224.5),0.13,0.15,4484,29,224.5,0.0428923761239
3346,16 Dec 224.50 (SPY1602L224.5-3),0.13,0.15,149,29,224.5,0.0428923761239
3351,16 Dec 224.50 (SPY1602L224.5-E),0.12,0.16,2818,29,224.5,0.0428923761239
3358,16 Dec 224.50 (SPY1602L224.5-X),0.13,0.15,704,29,224.5,0.0428923761239
3360,16 Dec 225.00 (SPY1602L225),0.10,0.11,8524,29,225.0,0.0440232927358
3361,16 Dec 225.00 (SPY1602L225-3),0.04,0.11,154,29,225.0,0.0406491768115
3366,16 Dec 225.00 (SPY1602L225-E),0.09,0.12,2371,29,225.0,0.0440232927358
3367,16 Dec 225.00 (SPY1602L225-I),0.10,0.11,606,29,225.0,0.0440232927358
3370,16 Dec 225.00 (SPY1602L225-O),0.10,0.11,2161,29,225.0,0.0440232927358
3371,16 Dec 225.00 (SPY1602L225-P),0.10,0.11,921,29,225.0,0.0440232927358
3373,16 Dec 225.00 (SPY1602L225-X),0.10,0.11,1691,29,225.0,0.0440232927358
3375,16 Dec 225.50 (SPY1602L225.5),0.07,0.08,1053,29,225.5,0.0446649271399
3381,16 Dec 225.50 (SPY1602L225.5-E),0.06,0.09,153,29,225.5,0.0446649271399
3388,16 Dec 225.50 (SPY1602L225.5-X),0.07,0.09,669,29,225.5,0.0453068980846
3390,16 Dec 226.00 (SPY1602L226),0.06,0.07,2437,29,226.0,0.0471694501476
3391,16 Dec 226.00 (SPY1602L226-3),0.05,0.07,281,29,226.0,0.0464073151775
3392,16 Dec 226.00 (SPY1602L226-4),0.05,0.07,142,29,226.0,0.0464073151775
3394,16 Dec 226.00 (SPY1602L226-A),0.05,0.08,139,29,226.0,0.0471694501476
3395,16 Dec 226.00 (SPY1602L226-B),0.05,0.07,257,29,226.0,0.0464073151775
3396,16 Dec 226.00 (SPY1602L226-E),0.05,0.08,322,29,226.0,0.0471694501476
3403,16 Dec 226.00 (SPY1602L226-X),0.06,0.07,874,29,226.0,0.0471694501476
3405,16 Dec 226.50 (SPY1602L226.5),0.05,0.06,890,29,226.5,0.0493180639118
3411,16 Dec 226.50 (SPY1602L226.5-E),0.04,0.07,522,29,226.5,0.0493180639118
3420,16 Dec 227.00 (SPY1602L227),0.04,0.05,4672,29,227.0,0.051051107416
