AAPL (APPLE INC),109.80,-0.03,
Nov 04 2016 @ 14:35 ET,Bid,109.79,Ask,109.80,Size,13x6,Vol,20523482,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
16 Nov 70.00 (AAPL1604K70-O),0.0,0.0,39.50,40.05,0,0,16 Nov 70.00 (AAPL1604W70-O),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-P),0.0,0.0,39.50,40.10,0,0,16 Nov 70.00 (AAPL1604W70-P),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-S),0.0,0.0,39.25,40.45,0,0,16 Nov 70.00 (AAPL1604W70-S),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-X),0.0,0.0,39.50,40.05,0,0,16 Nov 70.00 (AAPL1604W70-X),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-Y),0.0,0.0,39.35,40.20,0,0,16 Nov 70.00 (AAPL1604W70-Y),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75),36.65,0.0,34.70,34.85,0,0,16 Nov 75.00 (AAPL1604W75),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-3),0.0,0.0,34.35,35.45,0,0,16 Nov 75.00 (AAPL1604W75-3),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-4),0.0,0.0,34.35,35.45,0,0,16 Nov 75.00 (AAPL1604W75-4),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-8),0.0,0.0,34.10,35.45,0,0,16 Nov 75.00 (AAPL1604W75-8),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-A),0.0,0.0,34.15,35.45,0,0,16 Nov 75.00 (AAPL1604W75-A),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-B),0.0,0.0,34.35,35.45,0,0,16 Nov 75.00 (AAPL1604W75-B),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-E),36.65,0.0,34.70,34.85,0,0,16 Nov 75.00 (AAPL1604W75-E),0.0,0.0,0.0,0.02,0,0,
16 Nov 75.00 (AAPL1604K75-I),0.0,0.0,34.45,35.05,0,0,16 Nov 75.00 (AAPL1604W75-I),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-J),0.0,0.0,34.35,35.45,0,0,16 Nov 75.00 (AAPL1604W75-J),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-K),0.0,0.0,32.95,36.25,0,0,16 Nov 75.00 (AAPL1604W75-K),0.0,0.0,0.0,2.13,0,0,
16 Nov 75.00 (AAPL1604K75-O),0.0,0.0,34.25,35.60,0,0,16 Nov 75.00 (AAPL1604W75-O),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-P),0.0,0.0,32.85,36.25,0,0,16 Nov 75.00 (AAPL1604W75-P),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-S),0.0,0.0,34.35,35.45,0,0,16 Nov 75.00 (AAPL1604W75-S),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-X),0.0,0.0,34.15,35.45,0,0,16 Nov 75.00 (AAPL1604W75-X),0.0,0.0,0.0,0.01,0,0,
16 Nov 75.00 (AAPL1604K75-Y),0.0,0.0,34.35,35.20,0,0,16 Nov 75.00 (AAPL1604W75-Y),0.0,0.0,0.0,0.01,0,0,
16 Nov 80.00 (AAPL1604K80),31.65,0.0,29.75,29.85,0,6,16 Nov 80.00 (AAPL1604W80),0.05,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-3),0.0,0.0,29.50,30.10,0,6,16 Nov 80.00 (AAPL1604W80-3),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-4),34.40,0.0,29.55,30.10,0,6,16 Nov 80.00 (AAPL1604W80-4),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-8),0.0,0.0,29.40,30.35,0,6,16 Nov 80.00 (AAPL1604W80-8),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-A),0.0,0.0,29.40,30.35,0,6,16 Nov 80.00 (AAPL1604W80-A),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-B),31.83,0.0,29.50,30.10,0,6,16 Nov 80.00 (AAPL1604W80-B),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-E),31.65,0.0,29.70,29.85,0,6,16 Nov 80.00 (AAPL1604W80-E),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-I),34.95,0.0,29.70,30.00,0,6,16 Nov 80.00 (AAPL1604W80-I),0.05,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-J),0.0,0.0,29.50,30.10,0,6,16 Nov 80.00 (AAPL1604W80-J),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-K),0.0,0.0,27.60,31.00,0,6,16 Nov 80.00 (AAPL1604W80-K),0.0,0.0,0.0,2.13,0,10,
16 Nov 80.00 (AAPL1604K80-O),0.0,0.0,29.75,30.00,0,6,16 Nov 80.00 (AAPL1604W80-O),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-P),0.0,0.0,29.65,30.00,0,6,16 Nov 80.00 (AAPL1604W80-P),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-S),0.0,0.0,29.40,30.35,0,6,16 Nov 80.00 (AAPL1604W80-S),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-X),0.0,0.0,29.65,30.00,0,6,16 Nov 80.00 (AAPL1604W80-X),0.0,0.0,0.0,0.01,0,10,
16 Nov 80.00 (AAPL1604K80-Y),0.0,0.0,29.75,30.00,0,6,16 Nov 80.00 (AAPL1604W80-Y),0.0,0.0,0.0,0.01,0,10,
16 Nov 85.00 (AAPL1604K85),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85),0.01,0.0,0.0,0.01,0,4600,
16 Nov 85.00 (AAPL1604K85-3),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-3),0.0,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-4),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-4),0.01,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-8),0.0,0.0,24.40,25.45,0,0,16 Nov 85.00 (AAPL1604W85-8),0.01,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-A),0.0,0.0,24.40,25.45,0,0,16 Nov 85.00 (AAPL1604W85-A),0.01,0.0,0.0,0.01,0,4600,
16 Nov 85.00 (AAPL1604K85-B),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-B),0.01,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-E),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-E),0.01,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-I),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-I),0.01,0.0,0.0,0.01,0,4600,
16 Nov 85.00 (AAPL1604K85-J),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-J),0.0,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-K),0.0,0.0,22.65,26.25,0,0,16 Nov 85.00 (AAPL1604W85-K),0.0,0.0,0.0,2.13,0,4600,
16 Nov 85.00 (AAPL1604K85-O),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-O),0.01,0.0,0.0,0.01,0,4600,
16 Nov 85.00 (AAPL1604K85-P),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-P),0.01,0.0,0.0,0.01,0,4600,
16 Nov 85.00 (AAPL1604K85-S),0.0,0.0,24.40,25.45,0,0,16 Nov 85.00 (AAPL1604W85-S),0.01,0.0,0.0,0.01,0,4600,
16 Nov 85.00 (AAPL1604K85-X),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-X),0.02,0.0,0.0,0.04,0,4600,
16 Nov 85.00 (AAPL1604K85-Y),0.0,0.0,24.60,25.20,0,0,16 Nov 85.00 (AAPL1604W85-Y),0.01,0.0,0.0,0.01,0,4600,
16 Nov 90.00 (AAPL1604K90),20.65,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-3),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-3),0.0,0.0,0.0,0.02,0,8542,
16 Nov 90.00 (AAPL1604K90-4),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-4),0.0,0.0,0.0,0.02,0,8542,
16 Nov 90.00 (AAPL1604K90-8),0.0,0.0,19.50,20.60,0,1,16 Nov 90.00 (AAPL1604W90-8),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-A),0.0,0.0,19.40,20.50,0,1,16 Nov 90.00 (AAPL1604W90-A),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-B),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-B),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-E),21.86,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-E),0.01,0.0,0.0,0.02,0,8542,
16 Nov 90.00 (AAPL1604K90-I),24.15,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-I),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-J),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-J),0.0,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-K),0.0,0.0,17.65,21.25,0,1,16 Nov 90.00 (AAPL1604W90-K),0.0,0.0,0.0,2.13,0,8542,
16 Nov 90.00 (AAPL1604K90-O),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-O),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-P),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-P),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-S),0.0,0.0,19.40,20.50,0,1,16 Nov 90.00 (AAPL1604W90-S),0.01,0.0,0.0,0.01,0,8542,
16 Nov 90.00 (AAPL1604K90-X),20.65,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-X),0.01,0.0,0.0,0.02,0,8542,
16 Nov 90.00 (AAPL1604K90-Y),0.0,0.0,19.65,20.20,0,1,16 Nov 90.00 (AAPL1604W90-Y),0.01,0.0,0.0,0.01,0,8542,
16 Nov 95.00 (AAPL1604K95),16.92,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95),0.01,0.0,0.0,0.01,100,8819,
16 Nov 95.00 (AAPL1604K95-3),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-3),0.0,0.0,0.0,0.11,0,8819,
16 Nov 95.00 (AAPL1604K95-4),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-4),0.02,0.0,0.0,0.01,0,8819,
16 Nov 95.00 (AAPL1604K95-8),19.67,0.0,14.40,15.50,0,0,16 Nov 95.00 (AAPL1604W95-8),0.01,0.0,0.0,0.10,0,8819,
16 Nov 95.00 (AAPL1604K95-A),20.25,0.0,14.40,15.50,0,0,16 Nov 95.00 (AAPL1604W95-A),0.01,0.0,0.0,0.01,0,8819,
16 Nov 95.00 (AAPL1604K95-B),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-B),0.02,0.0,0.0,0.10,0,8819,
16 Nov 95.00 (AAPL1604K95-E),16.92,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-E),0.01,0.0,0.0,0.11,0,8819,
16 Nov 95.00 (AAPL1604K95-I),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-I),0.01,0.0,0.0,0.01,0,8819,
16 Nov 95.00 (AAPL1604K95-J),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-J),0.01,0.0,0.0,0.11,0,8819,
16 Nov 95.00 (AAPL1604K95-K),0.0,0.0,12.75,16.25,0,0,16 Nov 95.00 (AAPL1604W95-K),0.0,0.0,0.0,2.13,0,8819,
16 Nov 95.00 (AAPL1604K95-O),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-O),0.01,0.0,0.0,0.01,0,8819,
16 Nov 95.00 (AAPL1604K95-P),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-P),0.02,0.0,0.0,0.01,0,8819,
16 Nov 95.00 (AAPL1604K95-S),0.0,0.0,14.40,15.50,0,0,16 Nov 95.00 (AAPL1604W95-S),0.01,0.0,0.0,0.01,0,8819,
16 Nov 95.00 (AAPL1604K95-X),19.04,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-X),0.01,-0.01,0.0,0.09,100,8819,
16 Nov 95.00 (AAPL1604K95-Y),0.0,0.0,14.65,15.20,0,0,16 Nov 95.00 (AAPL1604W95-Y),0.01,0.0,0.0,0.01,0,8819,
16 Nov 97.00 (AAPL1604K97),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97),0.01,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-3),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-3),0.0,0.0,0.0,0.02,0,315,
16 Nov 97.00 (AAPL1604K97-4),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-4),0.0,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-8),0.0,0.0,12.40,13.50,0,0,16 Nov 97.00 (AAPL1604W97-8),0.0,0.0,0.0,0.02,0,315,
16 Nov 97.00 (AAPL1604K97-A),0.0,0.0,12.40,13.50,0,0,16 Nov 97.00 (AAPL1604W97-A),0.01,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-B),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-B),0.0,0.0,0.0,0.02,0,315,
16 Nov 97.00 (AAPL1604K97-E),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-E),0.0,0.0,0.0,0.02,0,315,
16 Nov 97.00 (AAPL1604K97-I),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-I),0.01,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-J),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-J),0.0,0.0,0.0,0.02,0,315,
16 Nov 97.00 (AAPL1604K97-K),0.0,0.0,10.65,14.35,0,0,16 Nov 97.00 (AAPL1604W97-K),0.0,0.0,0.0,2.13,0,315,
16 Nov 97.00 (AAPL1604K97-O),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-O),0.0,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-P),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-P),0.0,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-S),0.0,0.0,12.40,13.50,0,0,16 Nov 97.00 (AAPL1604W97-S),0.0,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-X),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-X),0.0,0.0,0.0,0.01,0,315,
16 Nov 97.00 (AAPL1604K97-Y),0.0,0.0,12.65,13.20,0,0,16 Nov 97.00 (AAPL1604W97-Y),0.01,0.0,0.0,0.01,0,315,
16 Nov 98.00 (AAPL1604K98),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98),0.01,0.0,0.0,0.01,5,2049,
16 Nov 98.00 (AAPL1604K98-3),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-3),0.0,0.0,0.0,0.02,0,2049,
16 Nov 98.00 (AAPL1604K98-4),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-4),0.01,0.0,0.0,0.01,2,2049,
16 Nov 98.00 (AAPL1604K98-8),0.0,0.0,11.40,12.45,0,0,16 Nov 98.00 (AAPL1604W98-8),0.0,0.0,0.0,0.02,0,2049,
16 Nov 98.00 (AAPL1604K98-A),0.0,0.0,11.40,12.45,0,0,16 Nov 98.00 (AAPL1604W98-A),0.01,0.0,0.0,0.01,3,2049,
16 Nov 98.00 (AAPL1604K98-B),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-B),0.0,0.0,0.0,0.02,0,2049,
16 Nov 98.00 (AAPL1604K98-E),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-E),0.0,0.0,0.0,0.02,0,2049,
16 Nov 98.00 (AAPL1604K98-I),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-I),0.01,0.0,0.0,0.01,0,2049,
16 Nov 98.00 (AAPL1604K98-J),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-J),0.0,0.0,0.0,0.02,0,2049,
16 Nov 98.00 (AAPL1604K98-K),0.0,0.0,9.65,13.45,0,0,16 Nov 98.00 (AAPL1604W98-K),0.0,0.0,0.0,2.13,0,2049,
16 Nov 98.00 (AAPL1604K98-O),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-O),0.0,0.0,0.0,0.01,0,2049,
16 Nov 98.00 (AAPL1604K98-P),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-P),0.0,0.0,0.0,0.01,0,2049,
16 Nov 98.00 (AAPL1604K98-S),0.0,0.0,11.40,12.45,0,0,16 Nov 98.00 (AAPL1604W98-S),0.0,0.0,0.0,0.01,0,2049,
16 Nov 98.00 (AAPL1604K98-X),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-X),0.0,0.0,0.0,0.02,0,2049,
16 Nov 98.00 (AAPL1604K98-Y),0.0,0.0,11.65,12.20,0,0,16 Nov 98.00 (AAPL1604W98-Y),0.01,0.0,0.0,0.01,0,2049,
16 Nov 99.00 (AAPL1604K99),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99),0.01,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-3),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-3),0.03,0.0,0.0,0.02,0,1804,
16 Nov 99.00 (AAPL1604K99-4),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-4),0.01,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-8),0.0,0.0,10.40,11.50,0,0,16 Nov 99.00 (AAPL1604W99-8),0.0,0.0,0.0,0.02,0,1804,
16 Nov 99.00 (AAPL1604K99-A),0.0,0.0,10.40,11.50,0,0,16 Nov 99.00 (AAPL1604W99-A),0.03,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-B),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-B),0.02,0.0,0.0,0.02,0,1804,
16 Nov 99.00 (AAPL1604K99-E),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-E),0.02,0.0,0.0,0.02,0,1804,
16 Nov 99.00 (AAPL1604K99-I),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-I),0.01,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-J),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-J),0.0,0.0,0.0,0.02,0,1804,
16 Nov 99.00 (AAPL1604K99-K),0.0,0.0,8.65,12.20,0,0,16 Nov 99.00 (AAPL1604W99-K),0.0,0.0,0.0,2.13,0,1804,
16 Nov 99.00 (AAPL1604K99-O),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-O),0.01,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-P),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-P),0.0,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-S),0.0,0.0,10.40,11.50,0,0,16 Nov 99.00 (AAPL1604W99-S),0.01,0.0,0.0,0.01,0,1804,
16 Nov 99.00 (AAPL1604K99-X),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-X),0.03,0.0,0.0,0.02,0,1804,
16 Nov 99.00 (AAPL1604K99-Y),0.0,0.0,10.65,11.20,0,0,16 Nov 99.00 (AAPL1604W99-Y),0.01,0.0,0.0,0.01,0,1804,
16 Nov 99.50 (AAPL1604K99.5),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5),0.01,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-3),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-3),0.0,0.0,0.0,0.02,0,3446,
16 Nov 99.50 (AAPL1604K99.5-4),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-4),0.01,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-8),0.0,0.0,9.90,11.00,0,0,16 Nov 99.50 (AAPL1604W99.5-8),0.03,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-A),0.0,0.0,9.90,11.00,0,0,16 Nov 99.50 (AAPL1604W99.5-A),0.01,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-B),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-B),0.02,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-E),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-E),0.01,0.0,0.0,0.02,0,3446,
16 Nov 99.50 (AAPL1604K99.5-I),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-I),0.02,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-J),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-J),0.0,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-K),0.0,0.0,8.45,11.80,0,0,16 Nov 99.50 (AAPL1604W99.5-K),0.0,0.0,0.0,2.13,0,3446,
16 Nov 99.50 (AAPL1604K99.5-O),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-O),0.02,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-P),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-P),0.02,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-S),0.0,0.0,9.90,11.00,0,0,16 Nov 99.50 (AAPL1604W99.5-S),0.0,0.0,0.0,0.01,0,3446,
16 Nov 99.50 (AAPL1604K99.5-X),0.0,0.0,10.15,10.75,0,0,16 Nov 99.50 (AAPL1604W99.5-X),0.03,0.0,0.0,0.02,0,3446,
16 Nov 99.50 (AAPL1604K99.5-Y),0.0,0.0,10.15,10.70,0,0,16 Nov 99.50 (AAPL1604W99.5-Y),0.01,0.0,0.0,0.01,0,3446,
16 Nov 100.00 (AAPL1604K100),9.80,-0.20,9.70,9.85,10,117,16 Nov 100.00 (AAPL1604W100),0.01,0.0,0.0,0.01,52,18617,
16 Nov 100.00 (AAPL1604K100-3),0.0,0.0,9.70,9.85,0,117,16 Nov 100.00 (AAPL1604W100-3),0.03,0.0,0.0,0.38,0,18617,
16 Nov 100.00 (AAPL1604K100-4),14.96,0.0,9.70,9.85,0,117,16 Nov 100.00 (AAPL1604W100-4),0.01,0.0,0.0,0.01,50,18617,
16 Nov 100.00 (AAPL1604K100-8),15.55,0.0,9.70,9.85,0,117,16 Nov 100.00 (AAPL1604W100-8),0.01,-0.01,0.0,0.24,2,18617,
16 Nov 100.00 (AAPL1604K100-A),17.30,0.0,9.70,9.85,0,117,16 Nov 100.00 (AAPL1604W100-A),0.03,0.0,0.0,0.01,0,18617,
16 Nov 100.00 (AAPL1604K100-B),13.80,0.0,9.70,9.85,0,117,16 Nov 100.00 (AAPL1604W100-B),0.03,0.0,0.0,0.38,0,18617,
16 Nov 100.00 (AAPL1604K100-E),9.50,-1.33,9.70,9.85,2,117,16 Nov 100.00 (AAPL1604W100-E),0.03,0.0,0.0,0.11,0,18617,
16 Nov 100.00 (AAPL1604K100-I),9.80,-0.20,9.70,9.85,6,117,16 Nov 100.00 (AAPL1604W100-I),0.01,0.0,0.0,0.01,0,18617,
16 Nov 100.00 (AAPL1604K100-J),17.20,0.0,9.70,9.85,0,117,16 Nov 100.00 (AAPL1604W100-J),0.03,0.0,0.0,0.38,0,18617,
