,Puts,Bid.1,Ask.1,Vol.1,Expiration,Strike
350,16 Nov 113.00 (AAPL1604W113-B),3.15,3.30,52,334.0,113.0
351,16 Nov 113.00 (AAPL1604W113-E),3.15,3.30,218,334.0,113.0
352,16 Nov 113.00 (AAPL1604W113-I),3.15,3.30,51,334.0,113.0
353,16 Nov 113.00 (AAPL1604W113-J),3.15,3.30,34,,
355,16 Nov 113.00 (AAPL1604W113-O),3.15,3.30,11,334.0,113.0
356,16 Nov 113.00 (AAPL1604W113-P),3.15,3.30,32,334.0,113.0
357,16 Nov 113.00 (AAPL1604W113-S),3.15,3.30,1,334.0,113.0
358,16 Nov 113.00 (AAPL1604W113-X),3.15,3.30,78,334.0,113.0
359,16 Nov 113.00 (AAPL1604W113-Y),3.15,3.30,6,,
360,16 Nov 114.00 (AAPL1604W114),4.10,4.30,824,334.0,114.0
362,16 Nov 114.00 (AAPL1604W114-4),4.10,4.30,8,334.0,114.0
363,16 Nov 114.00 (AAPL1604W114-8),4.10,4.30,135,334.0,114.0
365,16 Nov 114.00 (AAPL1604W114-B),4.10,4.30,51,334.0,114.0
366,16 Nov 114.00 (AAPL1604W114-E),4.10,4.30,286,334.0,114.0
367,16 Nov 114.00 (AAPL1604W114-I),4.10,4.30,135,334.0,114.0
368,16 Nov 114.00 (AAPL1604W114-J),4.10,4.30,3,,
370,16 Nov 114.00 (AAPL1604W114-O),4.10,4.30,111,334.0,114.0
371,16 Nov 114.00 (AAPL1604W114-P),4.10,4.35,71,334.0,114.0
373,16 Nov 114.00 (AAPL1604W114-X),4.10,4.30,22,334.0,114.0
374,16 Nov 114.00 (AAPL1604W114-Y),4.10,4.30,2,334.0,114.0
375,16 Nov 115.00 (AAPL1604W115),5.15,5.30,791,334.0,115.0
376,16 Nov 115.00 (AAPL1604W115-3),5.20,5.30,1,,
377,16 Nov 115.00 (AAPL1604W115-4),5.10,5.30,31,334.0,115.0
378,16 Nov 115.00 (AAPL1604W115-8),5.20,5.30,85,334.0,115.0
379,16 Nov 115.00 (AAPL1604W115-A),5.10,5.30,18,,
380,16 Nov 115.00 (AAPL1604W115-B),4.90,5.30,2,334.0,115.0
381,16 Nov 115.00 (AAPL1604W115-E),4.95,5.30,452,334.0,115.0
382,16 Nov 115.00 (AAPL1604W115-I),5.20,5.30,67,,
385,16 Nov 115.00 (AAPL1604W115-O),5.15,5.30,19,,
386,16 Nov 115.00 (AAPL1604W115-P),5.10,5.30,51,334.0,115.0
387,16 Nov 115.00 (AAPL1604W115-S),5.10,5.30,1,,
388,16 Nov 115.00 (AAPL1604W115-X),5.20,5.30,47,334.0,115.0
389,16 Nov 115.00 (AAPL1604W115-Y),5.20,5.30,17,334.0,115.0
390,16 Nov 116.00 (AAPL1604W116),6.10,6.30,231,334.0,116.0
391,16 Nov 116.00 (AAPL1604W116-3),6.10,6.30,1,,
392,16 Nov 116.00 (AAPL1604W116-4),6.10,6.30,2,334.0,116.0
393,16 Nov 116.00 (AAPL1604W116-8),6.10,6.30,59,334.0,116.0
396,16 Nov 116.00 (AAPL1604W116-E),6.10,6.30,43,334.0,116.0
397,16 Nov 116.00 (AAPL1604W116-I),6.10,6.30,27,,
398,16 Nov 116.00 (AAPL1604W116-J),6.10,6.30,18,334.0,116.0
400,16 Nov 116.00 (AAPL1604W116-O),6.10,6.30,46,,
401,16 Nov 116.00 (AAPL1604W116-P),6.10,6.35,8,,
403,16 Nov 116.00 (AAPL1604W116-X),6.10,6.30,26,334.0,116.0
404,16 Nov 116.00 (AAPL1604W116-Y),6.10,6.30,1,,
405,16 Nov 117.00 (AAPL1604W117),7.15,7.30,220,334.0,117.0
407,16 Nov 117.00 (AAPL1604W117-4),7.10,7.30,23,334.0,117.0
408,16 Nov 117.00 (AAPL1604W117-8),7.10,7.30,7,334.0,117.0
409,16 Nov 117.00 (AAPL1604W117-A),7.10,7.30,1,,
410,16 Nov 117.00 (AAPL1604W117-B),6.90,7.30,21,,
411,16 Nov 117.00 (AAPL1604W117-E),7.10,7.30,139,334.0,117.0
412,16 Nov 117.00 (AAPL1604W117-I),7.10,7.30,23,,
416,16 Nov 117.00 (AAPL1604W117-P),7.10,7.30,1,,
417,16 Nov 117.00 (AAPL1604W117-S),7.05,7.30,1,,
418,16 Nov 117.00 (AAPL1604W117-X),7.15,7.30,1,,
419,16 Nov 117.00 (AAPL1604W117-Y),7.10,7.30,3,,
420,16 Nov 118.00 (AAPL1604W118),8.10,8.30,27,334.0,118.0
422,16 Nov 118.00 (AAPL1604W118-4),8.10,8.30,8,334.0,118.0
426,16 Nov 118.00 (AAPL1604W118-E),8.10,8.30,6,334.0,118.0
427,16 Nov 118.00 (AAPL1604W118-I),8.10,8.30,1,,
430,16 Nov 118.00 (AAPL1604W118-O),8.10,8.30,3,,
433,16 Nov 118.00 (AAPL1604W118-X),8.10,8.30,9,334.0,118.0
435,16 Nov 119.00 (AAPL1604W119),9.10,9.30,70,334.0,119.0
437,16 Nov 119.00 (AAPL1604W119-4),9.10,9.30,22,334.0,119.0
438,16 Nov 119.00 (AAPL1604W119-8),9.10,9.30,27,,
440,16 Nov 119.00 (AAPL1604W119-B),9.10,9.30,7,,
441,16 Nov 119.00 (AAPL1604W119-E),9.10,9.30,14,334.0,119.0
450,16 Nov 120.00 (AAPL1604W120),10.10,10.30,113,334.0,120.0
452,16 Nov 120.00 (AAPL1604W120-4),10.10,10.30,20,334.0,120.0
454,16 Nov 120.00 (AAPL1604W120-A),10.10,10.30,3,,
456,16 Nov 120.00 (AAPL1604W120-E),10.10,10.30,14,,
457,16 Nov 120.00 (AAPL1604W120-I),10.10,10.30,6,,
461,16 Nov 120.00 (AAPL1604W120-P),10.10,10.35,7,,
462,16 Nov 120.00 (AAPL1604W120-S),10.10,10.30,2,,
463,16 Nov 120.00 (AAPL1604W120-X),10.10,10.30,60,,
464,16 Nov 120.00 (AAPL1604W120-Y),10.10,10.30,1,,
480,16 Nov 122.00 (AAPL1604W122),12.10,12.30,4,334.0,122.0
486,16 Nov 122.00 (AAPL1604W122-E),12.10,12.30,1,,
491,16 Nov 122.00 (AAPL1604W122-P),12.10,12.35,3,,
495,16 Nov 123.00 (AAPL1604W123),13.10,13.30,4,334.0,123.0
498,16 Nov 123.00 (AAPL1604W123-8),13.10,13.30,1,334.0,123.0
499,16 Nov 123.00 (AAPL1604W123-A),13.10,13.30,1,,
506,16 Nov 123.00 (AAPL1604W123-P),13.10,13.35,2,,
975,16 Nov 85.00 (AAPL1611W85),0.01,0.02,128,,
982,16 Nov 85.00 (AAPL1611W85-I),0.01,0.02,8,,
985,16 Nov 85.00 (AAPL1611W85-O),0.01,0.02,2,,
988,16 Nov 85.00 (AAPL1611W85-X),0.01,0.03,111,,
989,16 Nov 85.00 (AAPL1611W85-Y),0.01,0.02,7,,
990,16 Nov 90.00 (AAPL1611W90),0.02,0.03,1236,334.0,90.0
993,16 Nov 90.00 (AAPL1611W90-8),0.02,0.06,10,334.0,90.0
995,16 Nov 90.00 (AAPL1611W90-B),0.0,0.05,35,,
996,16 Nov 90.00 (AAPL1611W90-E),0.02,0.04,483,,
997,16 Nov 90.00 (AAPL1611W90-I),0.02,0.04,219,,
1000,16 Nov 90.00 (AAPL1611W90-O),0.02,0.05,245,,
1001,16 Nov 90.00 (AAPL1611W90-P),0.02,0.05,3,,
1004,16 Nov 90.00 (AAPL1611W90-Y),0.02,0.03,241,,
1005,16 Nov 95.00 (AAPL1611W95),0.08,0.09,1749,,
1006,16 Nov 95.00 (AAPL1611W95-3),0.07,0.09,3,,
1007,16 Nov 95.00 (AAPL1611W95-4),0.07,0.10,114,,
1008,16 Nov 95.00 (AAPL1611W95-8),0.07,0.13,107,,
1010,16 Nov 95.00 (AAPL1611W95-B),0.07,0.10,94,,
1011,16 Nov 95.00 (AAPL1611W95-E),0.07,0.09,397,,
1012,16 Nov 95.00 (AAPL1611W95-I),0.08,0.09,534,,
1015,16 Nov 95.00 (AAPL1611W95-O),0.08,0.09,15,,
1016,16 Nov 95.00 (AAPL1611W95-P),0.07,0.10,1,,
1017,16 Nov 95.00 (AAPL1611W95-S),0.08,0.09,31,,
1018,16 Nov 95.00 (AAPL1611W95-X),0.07,0.09,9,,
1019,16 Nov 95.00 (AAPL1611W95-Y),0.08,0.09,444,,
1020,16 Nov 96.00 (AAPL1611W96),0.10,0.11,78,,
1024,16 Nov 96.00 (AAPL1611W96-A),0.09,0.11,20,,
1026,16 Nov 96.00 (AAPL1611W96-E),0.09,0.11,32,,
1033,16 Nov 96.00 (AAPL1611W96-X),0.09,0.11,26,,
1035,16 Nov 97.00 (AAPL1611W97),0.11,0.13,416,,
1037,16 Nov 97.00 (AAPL1611W97-4),0.11,0.13,44,,
1039,16 Nov 97.00 (AAPL1611W97-A),0.11,0.14,4,,
1040,16 Nov 97.00 (AAPL1611W97-B),0.11,0.13,10,,
1041,16 Nov 97.00 (AAPL1611W97-E),0.11,0.13,2,,
1042,16 Nov 97.00 (AAPL1611W97-I),0.11,0.13,224,,
1046,16 Nov 97.00 (AAPL1611W97-P),0.11,0.14,10,,
1047,16 Nov 97.00 (AAPL1611W97-S),0.12,0.13,1,,
1048,16 Nov 97.00 (AAPL1611W97-X),0.11,0.14,35,,
1049,16 Nov 97.00 (AAPL1611W97-Y),0.12,0.13,86,,
1050,16 Nov 98.00 (AAPL1611W98),0.14,0.15,270,,
1052,16 Nov 98.00 (AAPL1611W98-4),0.14,0.16,28,,
1053,16 Nov 98.00 (AAPL1611W98-8),0.14,0.16,40,,
1054,16 Nov 98.00 (AAPL1611W98-A),0.14,0.16,15,,
1055,16 Nov 98.00 (AAPL1611W98-B),0.14,0.16,47,,
1056,16 Nov 98.00 (AAPL1611W98-E),0.14,0.16,80,,
1057,16 Nov 98.00 (AAPL1611W98-I),0.14,0.15,5,,
1061,16 Nov 98.00 (AAPL1611W98-P),0.14,0.16,45,,
1063,16 Nov 98.00 (AAPL1611W98-X),0.14,0.16,10,,
1065,16 Nov 99.00 (AAPL1611W99),0.17,0.18,383,,
1066,16 Nov 99.00 (AAPL1611W99-3),0.17,0.19,8,,
1069,16 Nov 99.00 (AAPL1611W99-A),0.17,0.19,10,,
1071,16 Nov 99.00 (AAPL1611W99-E),0.17,0.19,9,,
1072,16 Nov 99.00 (AAPL1611W99-I),0.17,0.18,277,,
1073,16 Nov 99.00 (AAPL1611W99-J),0.17,0.19,2,,
1075,16 Nov 99.00 (AAPL1611W99-O),0.17,0.18,30,,
1077,16 Nov 99.00 (AAPL1611W99-S),0.17,0.18,15,,
1078,16 Nov 99.00 (AAPL1611W99-X),0.17,0.19,32,,
1080,16 Nov 100.00 (AAPL1611W100),0.21,0.22,460,334.0,100.0
1082,16 Nov 100.00 (AAPL1611W100-4),0.21,0.23,116,,
1083,16 Nov 100.00 (AAPL1611W100-8),0.21,0.23,11,,
1084,16 Nov 100.00 (AAPL1611W100-A),0.20,0.23,9,,
1085,16 Nov 100.00 (AAPL1611W100-B),0.20,0.23,6,,
1086,16 Nov 100.00 (AAPL1611W100-E),0.21,0.23,78,334.0,100.0
1087,16 Nov 100.00 (AAPL1611W100-I),0.21,0.22,145,,
1088,16 Nov 100.00 (AAPL1611W100-J),0.20,0.33,20,,
1090,16 Nov 100.00 (AAPL1611W100-O),0.21,0.22,13,,
1091,16 Nov 100.00 (AAPL1611W100-P),0.21,0.22,1,334.0,100.0
1092,16 Nov 100.00 (AAPL1611W100-S),0.21,0.22,3,,
1093,16 Nov 100.00 (AAPL1611W100-X),0.20,0.23,55,,
1094,16 Nov 100.00 (AAPL1611W100-Y),0.21,0.22,3,,
1095,16 Nov 101.00 (AAPL1611W101),0.25,0.26,729,334.0,101.0
1096,16 Nov 101.00 (AAPL1611W101-3),0.25,0.28,2,,
1100,16 Nov 101.00 (AAPL1611W101-B),0.19,0.27,54,,
1101,16 Nov 101.00 (AAPL1611W101-E),0.25,0.27,216,,
1102,16 Nov 101.00 (AAPL1611W101-I),0.25,0.26,210,,
1105,16 Nov 101.00 (AAPL1611W101-O),0.25,0.26,13,,
1106,16 Nov 101.00 (AAPL1611W101-P),0.25,0.26,16,,
1107,16 Nov 101.00 (AAPL1611W101-S),0.25,0.27,23,,
1108,16 Nov 101.00 (AAPL1611W101-X),0.25,0.29,30,334.0,101.0
1109,16 Nov 101.00 (AAPL1611W101-Y),0.25,0.28,165,,
1110,16 Nov 102.00 (AAPL1611W102),0.31,0.32,1315,334.0,102.0
1111,16 Nov 102.00 (AAPL1611W102-3),0.31,0.34,2,,
1112,16 Nov 102.00 (AAPL1611W102-4),0.31,0.33,6,,
1113,16 Nov 102.00 (AAPL1611W102-8),0.30,0.35,20,,
1114,16 Nov 102.00 (AAPL1611W102-A),0.31,0.33,500,334.0,102.0
1115,16 Nov 102.00 (AAPL1611W102-B),0.24,0.32,111,,
1116,16 Nov 102.00 (AAPL1611W102-E),0.31,0.33,164,,
1117,16 Nov 102.00 (AAPL1611W102-I),0.31,0.32,147,334.0,102.0
1118,16 Nov 102.00 (AAPL1611W102-J),0.19,0.41,1,,
1120,16 Nov 102.00 (AAPL1611W102-O),0.31,0.32,117,,
1121,16 Nov 102.00 (AAPL1611W102-P),0.31,0.32,32,,
1122,16 Nov 102.00 (AAPL1611W102-S),0.31,0.32,60,,
1123,16 Nov 102.00 (AAPL1611W102-X),0.31,0.32,90,,
1124,16 Nov 102.00 (AAPL1611W102-Y),0.31,0.34,65,,
1125,16 Nov 103.00 (AAPL1611W103),0.38,0.39,415,,
1127,16 Nov 103.00 (AAPL1611W103-4),0.38,0.40,14,,
1128,16 Nov 103.00 (AAPL1611W103-8),0.33,0.40,43,,
1130,16 Nov 103.00 (AAPL1611W103-B),0.37,0.39,9,,
1131,16 Nov 103.00 (AAPL1611W103-E),0.38,0.39,53,,
1132,16 Nov 103.00 (AAPL1611W103-I),0.38,0.39,126,,
1135,16 Nov 103.00 (AAPL1611W103-O),0.38,0.39,69,,
1136,16 Nov 103.00 (AAPL1611W103-P),0.34,0.39,12,,
1137,16 Nov 103.00 (AAPL1611W103-S),0.38,0.40,10,,
1138,16 Nov 103.00 (AAPL1611W103-X),0.38,0.39,6,,
1139,16 Nov 103.00 (AAPL1611W103-Y),0.38,0.41,73,,
1140,16 Nov 104.00 (AAPL1611W104),0.47,0.48,351,334.0,104.0
1143,16 Nov 104.00 (AAPL1611W104-8),0.42,0.49,12,,
1144,16 Nov 104.00 (AAPL1611W104-A),0.45,0.49,5,,
1145,16 Nov 104.00 (AAPL1611W104-B),0.40,0.48,22,,
1146,16 Nov 104.00 (AAPL1611W104-E),0.47,0.49,72,,
1147,16 Nov 104.00 (AAPL1611W104-I),0.47,0.48,93,,
1150,16 Nov 104.00 (AAPL1611W104-O),0.47,0.49,11,,
1151,16 Nov 104.00 (AAPL1611W104-P),0.43,0.48,18,,
1152,16 Nov 104.00 (AAPL1611W104-S),0.47,0.49,10,,
1153,16 Nov 104.00 (AAPL1611W104-X),0.45,0.49,106,,
1154,16 Nov 104.00 (AAPL1611W104-Y),0.47,0.51,2,,
1155,16 Nov 105.00 (AAPL1611W105),0.59,0.60,491,334.0,105.0
1156,16 Nov 105.00 (AAPL1611W105-3),0.59,0.63,12,,
1157,16 Nov 105.00 (AAPL1611W105-4),0.58,0.61,30,334.0,105.0
1158,16 Nov 105.00 (AAPL1611W105-8),0.54,0.60,72,,
1159,16 Nov 105.00 (AAPL1611W105-A),0.57,0.60,2,,
1160,16 Nov 105.00 (AAPL1611W105-B),0.51,0.60,3,,
1161,16 Nov 105.00 (AAPL1611W105-E),0.58,0.61,91,334.0,105.0
1162,16 Nov 105.00 (AAPL1611W105-I),0.59,0.60,152,334.0,105.0
1165,16 Nov 105.00 (AAPL1611W105-O),0.59,0.60,66,334.0,105.0
1166,16 Nov 105.00 (AAPL1611W105-P),0.58,0.60,36,,
1168,16 Nov 105.00 (AAPL1611W105-X),0.57,0.61,8,,
1169,16 Nov 105.00 (AAPL1611W105-Y),0.59,0.63,19,,
1170,16 Nov 106.00 (AAPL1611W106),0.74,0.76,1089,334.0,106.0
1171,16 Nov 106.00 (AAPL1611W106-3),0.74,0.76,44,,
1172,16 Nov 106.00 (AAPL1611W106-4),0.73,0.76,35,,
1173,16 Nov 106.00 (AAPL1611W106-8),0.41,0.76,238,,
1174,16 Nov 106.00 (AAPL1611W106-A),0.73,0.76,10,334.0,106.0
1175,16 Nov 106.00 (AAPL1611W106-B),0.66,0.76,42,,
1176,16 Nov 106.00 (AAPL1611W106-E),0.73,0.76,277,334.0,106.0
1177,16 Nov 106.00 (AAPL1611W106-I),0.74,0.76,234,,
1180,16 Nov 106.00 (AAPL1611W106-O),0.74,0.76,133,334.0,106.0
1181,16 Nov 106.00 (AAPL1611W106-P),0.74,0.76,36,,
1182,16 Nov 106.00 (AAPL1611W106-S),0.69,0.76,11,,
1183,16 Nov 106.00 (AAPL1611W106-X),0.73,0.76,28,334.0,106.0
1184,16 Nov 106.00 (AAPL1611W106-Y),0.74,0.76,1,,
1185,16 Nov 107.00 (AAPL1611W107),0.94,0.96,5538,334.0,107.0
1186,16 Nov 107.00 (AAPL1611W107-3),0.92,0.96,72,334.0,107.0
1187,16 Nov 107.00 (AAPL1611W107-4),0.92,0.96,236,334.0,107.0
1188,16 Nov 107.00 (AAPL1611W107-8),0.73,0.96,331,334.0,107.0
