,Calls,Bid,Ask,Vol,Expiration,Strike
315,16 Nov 111.00 (AAPL1604K111),0.0,0.01,8969,334,111.0
316,16 Nov 111.00 (AAPL1604K111-3),0.0,0.02,61,334,111.0
317,16 Nov 111.00 (AAPL1604K111-4),0.0,0.02,2063,334,111.0
318,16 Nov 111.00 (AAPL1604K111-8),0.0,0.02,243,334,111.0
319,16 Nov 111.00 (AAPL1604K111-A),0.0,0.03,806,334,111.0
320,16 Nov 111.00 (AAPL1604K111-B),0.0,0.40,111,334,111.0
321,16 Nov 111.00 (AAPL1604K111-E),0.0,0.02,328,334,111.0
322,16 Nov 111.00 (AAPL1604K111-I),0.0,0.01,2199,334,111.0
323,16 Nov 111.00 (AAPL1604K111-J),0.0,0.02,282,334,111.0
325,16 Nov 111.00 (AAPL1604K111-O),0.0,0.01,397,334,111.0
326,16 Nov 111.00 (AAPL1604K111-P),0.0,0.01,597,334,111.0
327,16 Nov 111.00 (AAPL1604K111-S),0.0,0.01,125,334,111.0
328,16 Nov 111.00 (AAPL1604K111-X),0.0,0.02,1138,334,111.0
329,16 Nov 111.00 (AAPL1604K111-Y),0.0,0.01,619,334,111.0
330,16 Nov 112.00 (AAPL1604K112),0.0,0.01,4917,334,112.0
331,16 Nov 112.00 (AAPL1604K112-3),0.0,0.02,3,334,112.0
332,16 Nov 112.00 (AAPL1604K112-4),0.0,0.02,375,334,112.0
333,16 Nov 112.00 (AAPL1604K112-8),0.0,0.01,55,334,112.0
334,16 Nov 112.00 (AAPL1604K112-A),0.0,0.01,801,334,112.0
335,16 Nov 112.00 (AAPL1604K112-B),0.0,0.01,31,334,112.0
336,16 Nov 112.00 (AAPL1604K112-E),0.0,0.01,368,334,112.0
337,16 Nov 112.00 (AAPL1604K112-I),0.0,0.01,1520,334,112.0
338,16 Nov 112.00 (AAPL1604K112-J),0.0,0.03,12,334,112.0
340,16 Nov 112.00 (AAPL1604K112-O),0.0,0.01,520,334,112.0
341,16 Nov 112.00 (AAPL1604K112-P),0.0,0.01,190,334,112.0
342,16 Nov 112.00 (AAPL1604K112-S),0.0,0.01,30,334,112.0
343,16 Nov 112.00 (AAPL1604K112-X),0.0,0.01,110,334,112.0
344,16 Nov 112.00 (AAPL1604K112-Y),0.0,0.01,902,334,112.0
345,16 Nov 113.00 (AAPL1604K113),0.0,0.01,930,334,113.0
347,16 Nov 113.00 (AAPL1604K113-4),0.0,0.04,62,334,113.0
348,16 Nov 113.00 (AAPL1604K113-8),0.0,0.01,23,334,113.0
349,16 Nov 113.00 (AAPL1604K113-A),0.0,0.01,17,334,113.0
350,16 Nov 113.00 (AAPL1604K113-B),0.0,0.01,27,334,113.0
351,16 Nov 113.00 (AAPL1604K113-E),0.0,0.01,201,334,113.0
352,16 Nov 113.00 (AAPL1604K113-I),0.0,0.01,509,334,113.0
355,16 Nov 113.00 (AAPL1604K113-O),0.0,0.01,14,334,113.0
356,16 Nov 113.00 (AAPL1604K113-P),0.0,0.01,33,334,113.0
357,16 Nov 113.00 (AAPL1604K113-S),0.0,0.01,40,334,113.0
358,16 Nov 113.00 (AAPL1604K113-X),0.0,0.01,4,334,113.0
360,16 Nov 114.00 (AAPL1604K114),0.0,0.01,1441,334,114.0
362,16 Nov 114.00 (AAPL1604K114-4),0.0,0.01,227,334,114.0
363,16 Nov 114.00 (AAPL1604K114-8),0.0,0.38,44,334,114.0
364,16 Nov 114.00 (AAPL1604K114-A),0.0,0.38,13,334,114.0
365,16 Nov 114.00 (AAPL1604K114-B),0.0,0.39,1,334,114.0
366,16 Nov 114.00 (AAPL1604K114-E),0.0,0.01,341,334,114.0
367,16 Nov 114.00 (AAPL1604K114-I),0.0,0.01,142,334,114.0
369,16 Nov 114.00 (AAPL1604K114-K),0.0,2.13,1,334,114.0
370,16 Nov 114.00 (AAPL1604K114-O),0.0,0.02,71,334,114.0
371,16 Nov 114.00 (AAPL1604K114-P),0.0,0.01,471,334,114.0
373,16 Nov 114.00 (AAPL1604K114-X),0.0,0.13,59,334,114.0
374,16 Nov 114.00 (AAPL1604K114-Y),0.0,0.01,71,334,114.0
375,16 Nov 115.00 (AAPL1604K115),0.0,0.01,168,334,115.0
377,16 Nov 115.00 (AAPL1604K115-4),0.0,0.01,10,334,115.0
378,16 Nov 115.00 (AAPL1604K115-8),0.0,0.01,57,334,115.0
380,16 Nov 115.00 (AAPL1604K115-B),0.0,0.01,5,334,115.0
381,16 Nov 115.00 (AAPL1604K115-E),0.0,0.01,16,334,115.0
383,16 Nov 115.00 (AAPL1604K115-J),0.0,0.38,54,334,115.0
386,16 Nov 115.00 (AAPL1604K115-P),0.0,0.01,5,334,115.0
388,16 Nov 115.00 (AAPL1604K115-X),0.0,0.01,20,334,115.0
389,16 Nov 115.00 (AAPL1604K115-Y),0.0,0.01,1,334,115.0
390,16 Nov 116.00 (AAPL1604K116),0.0,0.01,603,334,116.0
392,16 Nov 116.00 (AAPL1604K116-4),0.0,0.01,193,334,116.0
393,16 Nov 116.00 (AAPL1604K116-8),0.0,0.01,146,334,116.0
394,16 Nov 116.00 (AAPL1604K116-A),0.0,0.13,206,334,116.0
396,16 Nov 116.00 (AAPL1604K116-E),0.0,0.01,17,334,116.0
398,16 Nov 116.00 (AAPL1604K116-J),0.0,0.38,20,334,116.0
403,16 Nov 116.00 (AAPL1604K116-X),0.0,0.04,21,334,116.0
405,16 Nov 117.00 (AAPL1604K117),0.0,0.01,300,334,117.0
407,16 Nov 117.00 (AAPL1604K117-4),0.0,0.01,2,334,117.0
408,16 Nov 117.00 (AAPL1604K117-8),0.0,0.02,73,334,117.0
411,16 Nov 117.00 (AAPL1604K117-E),0.0,0.01,225,334,117.0
420,16 Nov 118.00 (AAPL1604K118),0.0,0.01,73,334,118.0
422,16 Nov 118.00 (AAPL1604K118-4),0.0,0.01,3,334,118.0
423,16 Nov 118.00 (AAPL1604K118-8),0.0,0.01,19,334,118.0
426,16 Nov 118.00 (AAPL1604K118-E),0.0,0.01,11,334,118.0
433,16 Nov 118.00 (AAPL1604K118-X),0.0,0.02,40,334,118.0
435,16 Nov 119.00 (AAPL1604K119),0.0,0.01,29,334,119.0
437,16 Nov 119.00 (AAPL1604K119-4),0.0,0.01,20,334,119.0
439,16 Nov 119.00 (AAPL1604K119-A),0.0,0.01,6,334,119.0
441,16 Nov 119.00 (AAPL1604K119-E),0.0,0.01,3,334,119.0
450,16 Nov 120.00 (AAPL1604K120),0.0,0.01,79,334,120.0
452,16 Nov 120.00 (AAPL1604K120-4),0.0,0.01,15,334,120.0
453,16 Nov 120.00 (AAPL1604K120-8),0.0,0.02,64,334,120.0
465,16 Nov 121.00 (AAPL1604K121),0.0,0.01,18,334,121.0
467,16 Nov 121.00 (AAPL1604K121-4),0.0,0.01,15,334,121.0
468,16 Nov 121.00 (AAPL1604K121-8),0.0,0.02,1,334,121.0
469,16 Nov 121.00 (AAPL1604K121-A),0.0,0.01,1,334,121.0
471,16 Nov 121.00 (AAPL1604K121-E),0.0,0.02,1,334,121.0
480,16 Nov 122.00 (AAPL1604K122),0.0,0.01,22,334,122.0
483,16 Nov 122.00 (AAPL1604K122-8),0.0,0.02,1,334,122.0
492,16 Nov 122.00 (AAPL1604K122-S),0.0,0.01,20,334,122.0
493,16 Nov 122.00 (AAPL1604K122-X),0.0,0.02,1,334,122.0
495,16 Nov 123.00 (AAPL1604K123),0.0,0.01,18,334,123.0
497,16 Nov 123.00 (AAPL1604K123-4),0.0,0.38,15,334,123.0
498,16 Nov 123.00 (AAPL1604K123-8),0.0,0.38,2,334,123.0
508,16 Nov 123.00 (AAPL1604K123-X),0.0,0.07,1,334,123.0
510,16 Nov 124.00 (AAPL1604K124),0.0,0.01,31,334,124.0
512,16 Nov 124.00 (AAPL1604K124-4),0.0,0.02,15,334,124.0
513,16 Nov 124.00 (AAPL1604K124-8),0.0,0.02,1,334,124.0
514,16 Nov 124.00 (AAPL1604K124-A),0.0,0.01,13,334,124.0
516,16 Nov 124.00 (AAPL1604K124-E),0.0,0.02,2,334,124.0
525,16 Nov 125.00 (AAPL1604K125),0.0,0.01,2,334,125.0
528,16 Nov 125.00 (AAPL1604K125-8),0.0,0.02,2,334,125.0
540,16 Nov 126.00 (AAPL1604K126),0.0,0.01,14,334,126.0
543,16 Nov 126.00 (AAPL1604K126-8),0.0,0.02,1,334,126.0
546,16 Nov 126.00 (AAPL1604K126-E),0.0,0.02,12,334,126.0
553,16 Nov 126.00 (AAPL1604K126-X),0.0,0.02,1,334,126.0
990,16 Nov 90.00 (AAPL1611K90),19.70,20.00,5,334,90.0
993,16 Nov 90.00 (AAPL1611K90-8),19.70,20.00,5,334,90.0
1080,16 Nov 100.00 (AAPL1611K100),9.90,10.10,82,334,100.0
1086,16 Nov 100.00 (AAPL1611K100-E),9.90,10.10,2,334,100.0
1091,16 Nov 100.00 (AAPL1611K100-P),9.90,10.10,80,334,100.0
1095,16 Nov 101.00 (AAPL1611K101),8.95,9.15,22,334,101.0
1098,16 Nov 101.00 (AAPL1611K101-8),8.95,9.15,7,334,101.0
1108,16 Nov 101.00 (AAPL1611K101-X),8.95,9.15,15,334,101.0
1110,16 Nov 102.00 (AAPL1611K102),8.00,8.20,14,334,102.0
1114,16 Nov 102.00 (AAPL1611K102-A),8.00,8.20,1,334,102.0
1117,16 Nov 102.00 (AAPL1611K102-I),8.00,8.20,13,334,102.0
1140,16 Nov 104.00 (AAPL1611K104),6.20,6.35,2,334,104.0
1142,16 Nov 104.00 (AAPL1611K104-4),6.20,6.35,2,334,104.0
1155,16 Nov 105.00 (AAPL1611K105),5.35,5.45,37,334,105.0
1157,16 Nov 105.00 (AAPL1611K105-4),5.35,5.45,1,334,105.0
1161,16 Nov 105.00 (AAPL1611K105-E),5.35,5.45,1,334,105.0
1162,16 Nov 105.00 (AAPL1611K105-I),5.35,5.45,31,334,105.0
1165,16 Nov 105.00 (AAPL1611K105-O),5.35,5.45,4,334,105.0
1170,16 Nov 106.00 (AAPL1611K106),4.50,4.60,65,334,106.0
1174,16 Nov 106.00 (AAPL1611K106-A),4.50,4.60,49,334,106.0
1176,16 Nov 106.00 (AAPL1611K106-E),4.50,4.60,2,334,106.0
1180,16 Nov 106.00 (AAPL1611K106-O),4.50,4.60,6,334,106.0
1183,16 Nov 106.00 (AAPL1611K106-X),4.50,4.60,8,334,106.0
1185,16 Nov 107.00 (AAPL1611K107),3.70,3.80,1700,334,107.0
1186,16 Nov 107.00 (AAPL1611K107-3),3.70,3.80,202,334,107.0
1187,16 Nov 107.00 (AAPL1611K107-4),3.70,3.80,433,334,107.0
1188,16 Nov 107.00 (AAPL1611K107-8),3.65,3.80,47,334,107.0
1189,16 Nov 107.00 (AAPL1611K107-A),3.70,3.80,67,334,107.0
1190,16 Nov 107.00 (AAPL1611K107-B),3.70,3.80,5,334,107.0
1191,16 Nov 107.00 (AAPL1611K107-E),3.70,3.80,560,334,107.0
1192,16 Nov 107.00 (AAPL1611K107-I),3.70,3.80,73,334,107.0
1193,16 Nov 107.00 (AAPL1611K107-J),3.70,3.80,14,334,107.0
1194,16 Nov 107.00 (AAPL1611K107-K),3.70,3.80,21,334,107.0
1195,16 Nov 107.00 (AAPL1611K107-O),3.70,3.80,27,334,107.0
1197,16 Nov 107.00 (AAPL1611K107-S),3.70,3.80,21,334,107.0
1198,16 Nov 107.00 (AAPL1611K107-X),3.70,3.80,185,334,107.0
1199,16 Nov 107.00 (AAPL1611K107-Y),3.70,3.80,45,334,107.0
1200,16 Nov 108.00 (AAPL1611K108),2.97,3.05,372,334,108.0
1201,16 Nov 108.00 (AAPL1611K108-3),2.93,3.05,2,334,108.0
1202,16 Nov 108.00 (AAPL1611K108-4),2.95,3.05,39,334,108.0
1203,16 Nov 108.00 (AAPL1611K108-8),2.92,3.05,14,334,108.0
1204,16 Nov 108.00 (AAPL1611K108-A),2.94,3.05,2,334,108.0
1205,16 Nov 108.00 (AAPL1611K108-B),2.93,3.05,30,334,108.0
1206,16 Nov 108.00 (AAPL1611K108-E),2.95,3.05,85,334,108.0
1207,16 Nov 108.00 (AAPL1611K108-I),2.97,3.05,98,334,108.0
1210,16 Nov 108.00 (AAPL1611K108-O),2.97,3.05,35,334,108.0
1211,16 Nov 108.00 (AAPL1611K108-P),2.93,3.05,64,334,108.0
1213,16 Nov 108.00 (AAPL1611K108-X),2.95,3.05,3,334,108.0
1215,16 Nov 109.00 (AAPL1611K109),2.29,2.33,1558,334,109.0
1216,16 Nov 109.00 (AAPL1611K109-3),2.21,2.33,3,334,109.0
1217,16 Nov 109.00 (AAPL1611K109-4),2.27,2.33,73,334,109.0
1218,16 Nov 109.00 (AAPL1611K109-8),2.26,2.33,84,334,109.0
1219,16 Nov 109.00 (AAPL1611K109-A),2.28,2.33,85,334,109.0
1220,16 Nov 109.00 (AAPL1611K109-B),2.26,2.33,137,334,109.0
1221,16 Nov 109.00 (AAPL1611K109-E),2.27,2.33,40,334,109.0
1222,16 Nov 109.00 (AAPL1611K109-I),2.29,2.33,692,334,109.0
1225,16 Nov 109.00 (AAPL1611K109-O),2.29,2.33,222,334,109.0
1226,16 Nov 109.00 (AAPL1611K109-P),2.29,2.33,148,334,109.0
1227,16 Nov 109.00 (AAPL1611K109-S),2.25,2.33,45,334,109.0
1228,16 Nov 109.00 (AAPL1611K109-X),2.26,2.33,15,334,109.0
1229,16 Nov 109.00 (AAPL1611K109-Y),2.17,2.33,14,334,109.0
1230,16 Nov 110.00 (AAPL1611K110),1.70,1.74,12015,334,110.0
1231,16 Nov 110.00 (AAPL1611K110-3),1.67,1.74,221,334,110.0
1232,16 Nov 110.00 (AAPL1611K110-4),1.68,1.74,818,334,110.0
1233,16 Nov 110.00 (AAPL1611K110-8),1.68,1.74,197,334,110.0
1234,16 Nov 110.00 (AAPL1611K110-A),1.68,1.74,266,334,110.0
1235,16 Nov 110.00 (AAPL1611K110-B),1.68,1.74,532,334,110.0
1236,16 Nov 110.00 (AAPL1611K110-E),1.68,1.74,2568,334,110.0
1237,16 Nov 110.00 (AAPL1611K110-I),1.70,1.74,3473,334,110.0
1238,16 Nov 110.00 (AAPL1611K110-J),1.68,1.74,37,334,110.0
1239,16 Nov 110.00 (AAPL1611K110-K),1.33,1.74,547,334,110.0
1240,16 Nov 110.00 (AAPL1611K110-O),1.70,1.74,782,334,110.0
1241,16 Nov 110.00 (AAPL1611K110-P),1.67,1.74,590,334,110.0
1242,16 Nov 110.00 (AAPL1611K110-S),1.68,1.74,355,334,110.0
1243,16 Nov 110.00 (AAPL1611K110-X),1.68,1.74,1145,334,110.0
1244,16 Nov 110.00 (AAPL1611K110-Y),1.60,1.74,484,334,110.0
1245,16 Nov 111.00 (AAPL1611K111),1.20,1.22,3786,334,111.0
1246,16 Nov 111.00 (AAPL1611K111-3),1.14,1.22,134,334,111.0
1247,16 Nov 111.00 (AAPL1611K111-4),1.19,1.22,371,334,111.0
1248,16 Nov 111.00 (AAPL1611K111-8),1.00,1.22,120,334,111.0
1249,16 Nov 111.00 (AAPL1611K111-A),1.19,1.22,122,334,111.0
1250,16 Nov 111.00 (AAPL1611K111-B),1.20,1.28,82,334,111.0
1251,16 Nov 111.00 (AAPL1611K111-E),1.19,1.22,528,334,111.0
1252,16 Nov 111.00 (AAPL1611K111-I),1.20,1.22,1327,334,111.0
1253,16 Nov 111.00 (AAPL1611K111-J),0.65,1.22,14,334,111.0
1255,16 Nov 111.00 (AAPL1611K111-O),1.19,1.22,176,334,111.0
1256,16 Nov 111.00 (AAPL1611K111-P),1.19,1.22,352,334,111.0
1257,16 Nov 111.00 (AAPL1611K111-S),1.18,1.22,2,334,111.0
1258,16 Nov 111.00 (AAPL1611K111-X),1.19,1.22,464,334,111.0
1259,16 Nov 111.00 (AAPL1611K111-Y),1.13,1.22,94,334,111.0
1260,16 Nov 112.00 (AAPL1611K112),0.80,0.81,4168,334,112.0
1261,16 Nov 112.00 (AAPL1611K112-3),0.76,0.82,21,334,112.0
1262,16 Nov 112.00 (AAPL1611K112-4),0.78,0.82,479,334,112.0
1263,16 Nov 112.00 (AAPL1611K112-8),0.78,0.83,116,334,112.0
1264,16 Nov 112.00 (AAPL1611K112-A),0.80,0.83,156,334,112.0
1265,16 Nov 112.00 (AAPL1611K112-B),0.77,0.82,102,334,112.0
1266,16 Nov 112.00 (AAPL1611K112-E),0.78,0.82,619,334,112.0
1267,16 Nov 112.00 (AAPL1611K112-I),0.80,0.81,935,334,112.0
1268,16 Nov 112.00 (AAPL1611K112-J),0.80,1.35,69,334,112.0
1270,16 Nov 112.00 (AAPL1611K112-O),0.80,0.81,270,334,112.0
1271,16 Nov 112.00 (AAPL1611K112-P),0.79,0.82,398,334,112.0
1272,16 Nov 112.00 (AAPL1611K112-S),0.78,0.82,92,334,112.0
1273,16 Nov 112.00 (AAPL1611K112-X),0.78,0.82,729,334,112.0
1274,16 Nov 112.00 (AAPL1611K112-Y),0.75,0.87,182,334,112.0
1275,16 Nov 113.00 (AAPL1611K113),0.50,0.52,3504,334,113.0
1276,16 Nov 113.00 (AAPL1611K113-3),0.50,0.52,16,334,113.0
1277,16 Nov 113.00 (AAPL1611K113-4),0.50,0.52,120,334,113.0
1278,16 Nov 113.00 (AAPL1611K113-8),0.50,0.52,105,334,113.0
1279,16 Nov 113.00 (AAPL1611K113-A),0.50,0.52,62,334,113.0
1280,16 Nov 113.00 (AAPL1611K113-B),0.48,0.55,275,334,113.0
1281,16 Nov 113.00 (AAPL1611K113-E),0.50,0.52,535,334,113.0
1282,16 Nov 113.00 (AAPL1611K113-I),0.50,0.52,1207,334,113.0
1285,16 Nov 113.00 (AAPL1611K113-O),0.50,0.52,241,334,113.0
1286,16 Nov 113.00 (AAPL1611K113-P),0.50,0.52,209,334,113.0
1287,16 Nov 113.00 (AAPL1611K113-S),0.48,0.52,50,334,113.0
1288,16 Nov 113.00 (AAPL1611K113-X),0.50,0.52,564,334,113.0
1289,16 Nov 113.00 (AAPL1611K113-Y),0.46,0.52,120,334,113.0
1290,16 Nov 114.00 (AAPL1611K114),0.30,0.31,4251,334,114.0
1291,16 Nov 114.00 (AAPL1611K114-3),0.27,0.32,11,334,114.0
1292,16 Nov 114.00 (AAPL1611K114-4),0.28,0.32,322,334,114.0
1293,16 Nov 114.00 (AAPL1611K114-8),0.27,0.32,670,334,114.0
1294,16 Nov 114.00 (AAPL1611K114-A),0.29,0.31,44,334,114.0
1295,16 Nov 114.00 (AAPL1611K114-B),0.27,0.32,157,334,114.0
1296,16 Nov 114.00 (AAPL1611K114-E),0.28,0.32,561,334,114.0
1297,16 Nov 114.00 (AAPL1611K114-I),0.30,0.31,1342,334,114.0
1300,16 Nov 114.00 (AAPL1611K114-O),0.30,0.31,310,334,114.0
1301,16 Nov 114.00 (AAPL1611K114-P),0.27,0.31,86,334,114.0
1302,16 Nov 114.00 (AAPL1611K114-S),0.28,0.31,141,334,114.0
1303,16 Nov 114.00 (AAPL1611K114-X),0.28,0.32,323,334,114.0
1304,16 Nov 114.00 (AAPL1611K114-Y),0.30,0.31,284,334,114.0
1305,16 Nov 115.00 (AAPL1611K115),0.17,0.19,1858,334,115.0
1306,16 Nov 115.00 (AAPL1611K115-3),0.17,0.19,22,334,115.0
1307,16 Nov 115.00 (AAPL1611K115-4),0.17,0.19,388,334,115.0
1308,16 Nov 115.00 (AAPL1611K115-8),0.14,0.19,56,334,115.0
1309,16 Nov 115.00 (AAPL1611K115-A),0.15,0.19,2,334,115.0
1310,16 Nov 115.00 (AAPL1611K115-B),0.14,0.19,49,334,115.0
1311,16 Nov 115.00 (AAPL1611K115-E),0.17,0.19,61,334,115.0
1312,16 Nov 115.00 (AAPL1611K115-I),0.17,0.19,887,334,115.0
1313,16 Nov 115.00 (AAPL1611K115-J),0.13,0.19,9,334,115.0
1315,16 Nov 115.00 (AAPL1611K115-O),0.18,0.19,28,334,115.0
1316,16 Nov 115.00 (AAPL1611K115-P),0.17,0.19,250,334,115.0
1317,16 Nov 115.00 (AAPL1611K115-S),0.17,0.19,34,334,115.0
1318,16 Nov 115.00 (AAPL1611K115-X),0.14,0.19,63,334,115.0
1319,16 Nov 115.00 (AAPL1611K115-Y),0.17,0.19,9,334,115.0
1320,16 Nov 116.00 (AAPL1611K116),0.10,0.11,930,334,116.0
1322,16 Nov 116.00 (AAPL1611K116-4),0.09,0.11,114,334,116.0
1323,16 Nov 116.00 (AAPL1611K116-8),0.09,0.11,165,334,116.0
1324,16 Nov 116.00 (AAPL1611K116-A),0.09,0.11,6,334,116.0
1325,16 Nov 116.00 (AAPL1611K116-B),0.09,0.13,10,334,116.0
1326,16 Nov 116.00 (AAPL1611K116-E),0.09,0.11,144,334,116.0
1327,16 Nov 116.00 (AAPL1611K116-I),0.10,0.11,251,334,116.0
1328,16 Nov 116.00 (AAPL1611K116-J),0.09,0.11,9,334,116.0
1330,16 Nov 116.00 (AAPL1611K116-O),0.10,0.12,125,334,116.0
1331,16 Nov 116.00 (AAPL1611K116-P),0.09,0.12,38,334,116.0
1332,16 Nov 116.00 (AAPL1611K116-S),0.09,0.11,1,334,116.0
1333,16 Nov 116.00 (AAPL1611K116-X),0.09,0.11,13,334,116.0
1334,16 Nov 116.00 (AAPL1611K116-Y),0.10,0.11,54,334,116.0
1335,16 Nov 117.00 (AAPL1611K117),0.05,0.08,446,334,117.0
1337,16 Nov 117.00 (AAPL1611K117-4),0.05,0.08,95,334,117.0
1338,16 Nov 117.00 (AAPL1611K117-8),0.05,0.11,50,334,117.0
1341,16 Nov 117.00 (AAPL1611K117-E),0.04,0.11,121,334,117.0
1342,16 Nov 117.00 (AAPL1611K117-I),0.05,0.10,47,334,117.0
1345,16 Nov 117.00 (AAPL1611K117-O),0.05,0.10,11,334,117.0
1346,16 Nov 117.00 (AAPL1611K117-P),0.05,0.10,13,334,117.0
1347,16 Nov 117.00 (AAPL1611K117-S),0.05,0.10,2,334,117.0
1348,16 Nov 117.00 (AAPL1611K117-X),0.05,0.11,107,334,117.0
1350,16 Nov 118.00 (AAPL1611K118),0.03,0.04,510,334,118.0
1352,16 Nov 118.00 (AAPL1611K118-4),0.03,0.05,64,334,118.0
1353,16 Nov 118.00 (AAPL1611K118-8),0.03,0.11,220,334,118.0
1355,16 Nov 118.00 (AAPL1611K118-B),0.0,0.10,3,334,118.0
1356,16 Nov 118.00 (AAPL1611K118-E),0.03,0.05,25,334,118.0
1357,16 Nov 118.00 (AAPL1611K118-I),0.03,0.04,118,334,118.0
1361,16 Nov 118.00 (AAPL1611K118-P),0.03,0.05,15,334,118.0
1362,16 Nov 118.00 (AAPL1611K118-S),0.03,0.04,11,334,118.0
1363,16 Nov 118.00 (AAPL1611K118-X),0.03,0.05,54,334,118.0
1365,16 Nov 119.00 (AAPL1611K119),0.02,0.03,141,334,119.0
