,Calls,Bid,Ask,Vol,Expiration,Strike,Call IV
801,16 Nov 209.50 (SPY1609K209.5-E),5.65,5.74,29,15,209.5,0.170285930061
802,16 Nov 209.50 (SPY1609K209.5-I),5.65,5.73,47,15,209.5,0.169932854416
806,16 Nov 209.50 (SPY1609K209.5-P),5.66,5.80,44,15,209.5,0.172749841128
807,16 Nov 209.50 (SPY1609K209.5-S),5.65,5.76,3,15,209.5,0.170991254568
808,16 Nov 209.50 (SPY1609K209.5-X),5.65,5.72,85,15,209.5,0.169579500298
809,16 Nov 209.50 (SPY1609K209.5-Y),5.66,5.73,68,15,209.5,0.170285930061
810,16 Nov 210.00 (SPY1609K210),5.23,5.27,3460,15,210.0,0.164257413167
811,16 Nov 210.00 (SPY1609K210-3),4.13,6.38,154,15,210.0,0.164599756977
812,16 Nov 210.00 (SPY1609K210-4),5.22,5.30,140,15,210.0,0.164941874131
813,16 Nov 210.00 (SPY1609K210-8),5.23,5.32,147,15,210.0,0.165966882631
814,16 Nov 210.00 (SPY1609K210-A),5.19,5.33,50,15,210.0,0.164941874131
815,16 Nov 210.00 (SPY1609K210-B),5.23,5.36,57,15,210.0,0.167330488868
816,16 Nov 210.00 (SPY1609K210-E),5.22,5.31,266,15,210.0,0.165283766336
817,16 Nov 210.00 (SPY1609K210-I),5.23,5.25,525,15,210.0,0.163572038663
820,16 Nov 210.00 (SPY1609K210-O),5.23,5.27,1649,15,210.0,0.164257413167
821,16 Nov 210.00 (SPY1609K210-P),5.23,5.38,220,15,210.0,0.168011004526
822,16 Nov 210.00 (SPY1609K210-S),5.21,5.34,102,15,210.0,0.165966882631
823,16 Nov 210.00 (SPY1609K210-X),5.23,5.30,114,15,210.0,0.165283766336
824,16 Nov 210.00 (SPY1609K210-Y),5.23,5.30,36,15,210.0,0.165283766336
825,16 Nov 210.50 (SPY1609K210.5),4.82,4.88,134,15,210.5,0.160818460417
827,16 Nov 210.50 (SPY1609K210.5-4),4.80,4.88,6,15,210.5,0.160155940243
828,16 Nov 210.50 (SPY1609K210.5-8),4.79,4.92,38,15,210.5,0.161149459433
829,16 Nov 210.50 (SPY1609K210.5-A),4.77,4.91,5,15,210.5,0.160155940243
831,16 Nov 210.50 (SPY1609K210.5-E),4.80,4.88,50,15,210.5,0.160155940243
832,16 Nov 210.50 (SPY1609K210.5-I),4.81,4.88,19,15,210.5,0.160487287775
836,16 Nov 210.50 (SPY1609K210.5-P),4.81,4.95,7,15,210.5,0.16280189339
837,16 Nov 210.50 (SPY1609K210.5-S),4.81,4.91,4,15,210.5,0.161480286071
840,16 Nov 211.00 (SPY1609K211),4.40,4.46,1221,15,211.0,0.155500777134
841,16 Nov 211.00 (SPY1609K211-3),4.40,4.45,125,15,211.0,0.155179023468
842,16 Nov 211.00 (SPY1609K211-4),4.39,4.46,163,15,211.0,0.155179023468
843,16 Nov 211.00 (SPY1609K211-8),4.39,4.49,216,15,211.0,0.156143887034
844,16 Nov 211.00 (SPY1609K211-A),4.35,4.48,37,15,211.0,0.154535114003
845,16 Nov 211.00 (SPY1609K211-B),4.39,4.51,20,15,211.0,0.15678647318
846,16 Nov 211.00 (SPY1609K211-E),4.39,4.48,142,15,211.0,0.155822398012
847,16 Nov 211.00 (SPY1609K211-I),4.39,4.45,192,15,211.0,0.154857136074
850,16 Nov 211.00 (SPY1609K211-O),4.39,4.45,104,15,211.0,0.154857136074
851,16 Nov 211.00 (SPY1609K211-P),4.39,4.51,203,15,211.0,0.15678647318
852,16 Nov 211.00 (SPY1609K211-S),4.39,4.50,3,15,211.0,0.156465245119
853,16 Nov 211.00 (SPY1609K211-X),4.39,4.46,12,15,211.0,0.155179023468
854,16 Nov 211.00 (SPY1609K211-Y),4.40,4.47,4,15,211.0,0.155822398012
855,16 Nov 211.50 (SPY1609K211.5),3.99,4.04,838,15,211.5,0.149964861742
856,16 Nov 211.50 (SPY1609K211.5-3),3.98,4.04,94,15,211.5,0.149651611941
857,16 Nov 211.50 (SPY1609K211.5-4),3.98,4.03,32,15,211.5,0.149338264349
858,16 Nov 211.50 (SPY1609K211.5-8),3.98,4.08,70,15,211.5,0.150904031101
860,16 Nov 211.50 (SPY1609K211.5-B),3.98,4.08,4,15,211.5,0.150904031101
861,16 Nov 211.50 (SPY1609K211.5-E),3.98,4.07,47,15,211.5,0.150591070658
862,16 Nov 211.50 (SPY1609K211.5-I),3.98,4.03,13,15,211.5,0.149338264349
865,16 Nov 211.50 (SPY1609K211.5-O),3.99,4.04,84,15,211.5,0.149964861742
866,16 Nov 211.50 (SPY1609K211.5-P),3.99,4.09,80,15,211.5,0.151529667225
868,16 Nov 211.50 (SPY1609K211.5-X),3.98,4.05,373,15,211.5,0.149964861742
869,16 Nov 211.50 (SPY1609K211.5-Y),3.99,4.05,39,15,211.5,0.150278014425
870,16 Nov 212.00 (SPY1609K212),3.59,3.63,2123,15,212.0,0.144461490991
871,16 Nov 212.00 (SPY1609K212-3),3.59,3.64,247,15,212.0,0.144767096657
872,16 Nov 212.00 (SPY1609K212-4),3.58,3.63,273,15,212.0,0.144155819381
873,16 Nov 212.00 (SPY1609K212-8),3.58,3.68,222,15,212.0,0.145683522426
874,16 Nov 212.00 (SPY1609K212-A),3.54,3.67,238,15,212.0,0.144155819381
875,16 Nov 212.00 (SPY1609K212-B),3.58,3.69,20,15,212.0,0.145988868733
876,16 Nov 212.00 (SPY1609K212-E),3.58,3.66,222,15,212.0,0.145072636824
877,16 Nov 212.00 (SPY1609K212-I),3.59,3.63,651,15,212.0,0.144461490991
878,16 Nov 212.00 (SPY1609K212-J),3.58,3.71,6,15,212.0,0.146599370507
880,16 Nov 212.00 (SPY1609K212-O),3.59,3.63,76,15,212.0,0.144461490991
881,16 Nov 212.00 (SPY1609K212-P),3.59,3.70,39,15,212.0,0.146599370507
882,16 Nov 212.00 (SPY1609K212-S),3.58,3.67,3,15,212.0,0.145378111934
883,16 Nov 212.00 (SPY1609K212-X),3.58,3.65,77,15,212.0,0.144767096657
884,16 Nov 212.00 (SPY1609K212-Y),3.59,3.65,49,15,212.0,0.145072636824
885,16 Nov 212.50 (SPY1609K212.5),3.20,3.23,2462,15,212.5,0.138907442722
886,16 Nov 212.50 (SPY1609K212.5-3),3.20,3.23,328,15,212.5,0.138907442722
887,16 Nov 212.50 (SPY1609K212.5-4),3.18,3.23,280,15,212.5,0.138308986945
888,16 Nov 212.50 (SPY1609K212.5-8),3.15,3.28,162,15,212.5,0.138907442722
889,16 Nov 212.50 (SPY1609K212.5-A),3.15,3.28,126,15,212.5,0.138907442722
890,16 Nov 212.50 (SPY1609K212.5-B),3.19,3.26,65,15,212.5,0.139505739442
891,16 Nov 212.50 (SPY1609K212.5-E),3.17,3.25,337,15,212.5,0.13860823485
892,16 Nov 212.50 (SPY1609K212.5-I),3.19,3.23,420,15,212.5,0.13860823485
893,16 Nov 212.50 (SPY1609K212.5-J),3.18,3.27,15,15,212.5,0.139505739442
895,16 Nov 212.50 (SPY1609K212.5-O),3.19,3.23,216,15,212.5,0.13860823485
896,16 Nov 212.50 (SPY1609K212.5-P),3.19,3.26,336,15,212.5,0.139505739442
897,16 Nov 212.50 (SPY1609K212.5-S),3.15,3.28,64,15,212.5,0.138907442722
898,16 Nov 212.50 (SPY1609K212.5-X),3.18,3.25,109,15,212.5,0.138907442722
899,16 Nov 212.50 (SPY1609K212.5-Y),3.19,3.26,4,15,212.5,0.139505739442
900,16 Nov 213.00 (SPY1609K213),2.80,2.84,6443,15,213.0,0.132625307601
901,16 Nov 213.00 (SPY1609K213-3),2.80,2.84,243,15,213.0,0.132625307601
902,16 Nov 213.00 (SPY1609K213-4),2.79,2.84,316,15,213.0,0.132331194447
903,16 Nov 213.00 (SPY1609K213-8),2.78,2.89,311,15,213.0,0.133507530941
904,16 Nov 213.00 (SPY1609K213-A),2.76,2.89,116,15,213.0,0.132919401313
905,16 Nov 213.00 (SPY1609K213-B),2.79,2.86,243,15,213.0,0.132919401313
906,16 Nov 213.00 (SPY1609K213-E),2.78,2.86,1200,15,213.0,0.132625307601
907,16 Nov 213.00 (SPY1609K213-I),2.80,2.84,1026,15,213.0,0.132625307601
910,16 Nov 213.00 (SPY1609K213-O),2.80,2.84,731,15,213.0,0.132625307601
911,16 Nov 213.00 (SPY1609K213-P),2.77,2.87,1436,15,213.0,0.132625307601
912,16 Nov 213.00 (SPY1609K213-S),2.76,2.84,102,15,213.0,0.131448736996
913,16 Nov 213.00 (SPY1609K213-X),2.79,2.86,556,15,213.0,0.132919401313
914,16 Nov 213.00 (SPY1609K213-Y),2.80,2.87,163,15,213.0,0.133507530941
915,16 Nov 213.50 (SPY1609K213.5),2.42,2.46,3731,15,213.5,0.126407796009
916,16 Nov 213.50 (SPY1609K213.5-3),2.42,2.46,117,15,213.5,0.126407796009
917,16 Nov 213.50 (SPY1609K213.5-4),2.40,2.46,274,15,213.5,0.12582665748
918,16 Nov 213.50 (SPY1609K213.5-8),2.38,2.50,616,15,213.5,0.126407796009
919,16 Nov 213.50 (SPY1609K213.5-A),2.38,2.49,559,15,213.5,0.126117229426
920,16 Nov 213.50 (SPY1609K213.5-B),2.25,2.47,93,15,213.5,0.121758065015
921,16 Nov 213.50 (SPY1609K213.5-E),2.40,2.48,1376,15,213.5,0.126407796009
922,16 Nov 213.50 (SPY1609K213.5-I),2.42,2.45,137,15,213.5,0.126117229426
925,16 Nov 213.50 (SPY1609K213.5-O),2.42,2.46,158,15,213.5,0.126407796009
926,16 Nov 213.50 (SPY1609K213.5-P),2.40,2.49,75,15,213.5,0.126698357269
927,16 Nov 213.50 (SPY1609K213.5-S),2.38,2.45,62,15,213.5,0.124954909083
928,16 Nov 213.50 (SPY1609K213.5-X),2.41,2.47,186,15,213.5,0.126407796009
929,16 Nov 213.50 (SPY1609K213.5-Y),2.42,2.48,78,15,213.5,0.126988913242
930,16 Nov 214.00 (SPY1609K214),2.05,2.08,11360,15,214.0,0.119541217376
931,16 Nov 214.00 (SPY1609K214-3),2.05,2.09,415,15,214.0,0.119830261226
932,16 Nov 214.00 (SPY1609K214-4),2.03,2.11,1071,15,214.0,0.119830261226
933,16 Nov 214.00 (SPY1609K214-8),2.03,2.12,1099,15,214.0,0.120119305179
934,16 Nov 214.00 (SPY1609K214-A),2.00,2.13,333,15,214.0,0.119541217376
935,16 Nov 214.00 (SPY1609K214-B),2.02,2.10,159,15,214.0,0.119252173627
936,16 Nov 214.00 (SPY1609K214-E),2.02,2.12,1711,15,214.0,0.119830261226
937,16 Nov 214.00 (SPY1609K214-I),2.04,2.08,2219,15,214.0,0.119252173627
938,16 Nov 214.00 (SPY1609K214-J),1.92,2.12,57,15,214.0,0.116939827265
940,16 Nov 214.00 (SPY1609K214-O),2.05,2.08,1000,15,214.0,0.119541217376
941,16 Nov 214.00 (SPY1609K214-P),2.03,2.11,2293,15,214.0,0.119830261226
942,16 Nov 214.00 (SPY1609K214-S),2.01,2.08,307,15,214.0,0.118385042987
943,16 Nov 214.00 (SPY1609K214-X),2.03,2.10,628,15,214.0,0.119541217376
944,16 Nov 214.00 (SPY1609K214-Y),2.04,2.11,68,15,214.0,0.120119305179
945,16 Nov 214.50 (SPY1609K214.5),1.70,1.72,6461,15,214.5,0.112731692864
946,16 Nov 214.50 (SPY1609K214.5-3),1.70,1.73,395,15,214.5,0.113021938701
947,16 Nov 214.50 (SPY1609K214.5-4),1.67,1.74,480,15,214.5,0.112441439145
948,16 Nov 214.50 (SPY1609K214.5-8),1.70,1.77,198,15,214.5,0.114182844454
949,16 Nov 214.50 (SPY1609K214.5-A),1.64,1.77,17,15,214.5,0.112441439145
950,16 Nov 214.50 (SPY1609K214.5-B),1.66,1.75,130,15,214.5,0.112441439145
951,16 Nov 214.50 (SPY1609K214.5-E),1.66,1.75,1033,15,214.5,0.112441439145
952,16 Nov 214.50 (SPY1609K214.5-I),1.69,1.72,1473,15,214.5,0.112441439145
955,16 Nov 214.50 (SPY1609K214.5-O),1.70,1.72,1482,15,214.5,0.112731692864
956,16 Nov 214.50 (SPY1609K214.5-P),1.67,1.75,331,15,214.5,0.112731692864
957,16 Nov 214.50 (SPY1609K214.5-S),1.69,1.72,128,15,214.5,0.112441439145
958,16 Nov 214.50 (SPY1609K214.5-X),1.67,1.74,112,15,214.5,0.112441439145
959,16 Nov 214.50 (SPY1609K214.5-Y),1.69,1.75,680,15,214.5,0.113312176718
960,16 Nov 215.00 (SPY1609K215),1.36,1.38,17259,15,215.0,0.105477501104
961,16 Nov 215.00 (SPY1609K215-3),0.18,2.28,511,15,215.0,0.0971897506013
962,16 Nov 215.00 (SPY1609K215-4),1.33,1.40,1513,15,215.0,0.105182095077
963,16 Nov 215.00 (SPY1609K215-8),1.35,1.42,1856,15,215.0,0.106363482355
964,16 Nov 215.00 (SPY1609K215-A),1.30,1.42,333,15,215.0,0.104886649002
965,16 Nov 215.00 (SPY1609K215-B),1.33,1.40,1036,15,215.0,0.105182095077
966,16 Nov 215.00 (SPY1609K215-E),1.33,1.40,2148,15,215.0,0.105182095077
967,16 Nov 215.00 (SPY1609K215-I),1.35,1.39,3808,15,215.0,0.105477501104
968,16 Nov 215.00 (SPY1609K215-J),1.23,1.40,48,15,215.0,0.102225772795
970,16 Nov 215.00 (SPY1609K215-O),1.35,1.39,1858,15,215.0,0.105477501104
971,16 Nov 215.00 (SPY1609K215-P),1.34,1.41,1873,15,215.0,0.105772867432
972,16 Nov 215.00 (SPY1609K215-S),1.35,1.41,356,15,215.0,0.106068194402
973,16 Nov 215.00 (SPY1609K215-X),1.34,1.40,1500,15,215.0,0.105477501104
974,16 Nov 215.00 (SPY1609K215-Y),1.36,1.40,419,15,215.0,0.106068194402
975,16 Nov 215.50 (SPY1609K215.5),1.05,1.07,5684,15,215.5,0.0983974742424
976,16 Nov 215.50 (SPY1609K215.5-3),1.04,1.07,317,15,215.5,0.0980910247501
977,16 Nov 215.50 (SPY1609K215.5-4),1.01,1.09,224,15,215.5,0.0977844562338
978,16 Nov 215.50 (SPY1609K215.5-8),1.04,1.10,1584,15,215.5,0.0990100209418
979,16 Nov 215.50 (SPY1609K215.5-A),0.98,1.10,15,15,215.5,0.0971709572399
980,16 Nov 215.50 (SPY1609K215.5-B),1.01,1.08,180,15,215.5,0.0974777674755
981,16 Nov 215.50 (SPY1609K215.5-E),1.01,1.08,971,15,215.5,0.0974777674755
982,16 Nov 215.50 (SPY1609K215.5-I),1.05,1.07,940,15,215.5,0.0983974742424
983,16 Nov 215.50 (SPY1609K215.5-J),0.91,1.08,3,15,215.5,0.0944039857402
985,16 Nov 215.50 (SPY1609K215.5-O),1.04,1.07,426,15,215.5,0.0980910247501
986,16 Nov 215.50 (SPY1609K215.5-P),1.03,1.09,116,15,215.5,0.0983974742424
987,16 Nov 215.50 (SPY1609K215.5-S),1.04,1.09,201,15,215.5,0.0987038059116
988,16 Nov 215.50 (SPY1609K215.5-X),1.04,1.08,492,15,215.5,0.0983974742424
989,16 Nov 215.50 (SPY1609K215.5-Y),1.05,1.08,215,15,215.5,0.0987038059116
990,16 Nov 216.00 (SPY1609K216),0.77,0.79,9285,15,216.0,0.0911884643655
991,16 Nov 216.00 (SPY1609K216-3),0.77,0.79,196,15,216.0,0.0911884643655
992,16 Nov 216.00 (SPY1609K216-4),0.73,0.81,1067,15,216.0,0.0905343150902
993,16 Nov 216.00 (SPY1609K216-8),0.74,0.82,1762,15,216.0,0.0911884643655
994,16 Nov 216.00 (SPY1609K216-A),0.72,0.81,141,15,216.0,0.090206783601
995,16 Nov 216.00 (SPY1609K216-B),0.56,0.80,343,15,216.0,0.0845878415307
996,16 Nov 216.00 (SPY1609K216-E),0.74,0.81,1164,15,216.0,0.0908615407265
997,16 Nov 216.00 (SPY1609K216-I),0.77,0.79,1589,15,216.0,0.0911884643655
998,16 Nov 216.00 (SPY1609K216-J),0.62,0.80,54,15,216.0,0.0865825731378
999,16 Nov 216.00 (SPY1609K216-K),0.31,3.77,125,15,216.0,0.168830284014
1000,16 Nov 216.00 (SPY1609K216-O),0.77,0.79,658,15,216.0,0.0911884643655
1001,16 Nov 216.00 (SPY1609K216-P),0.76,0.81,534,15,216.0,0.091515089793
1002,16 Nov 216.00 (SPY1609K216-S),0.72,0.81,360,15,216.0,0.090206783601
1003,16 Nov 216.00 (SPY1609K216-X),0.76,0.80,292,15,216.0,0.0911884643655
1004,16 Nov 216.00 (SPY1609K216-Y),0.77,0.80,1292,15,216.0,0.091515089793
1005,16 Nov 216.50 (SPY1609K216.5),0.54,0.55,6554,15,216.5,0.0845021304856
1006,16 Nov 216.50 (SPY1609K216.5-3),0.54,0.56,257,15,216.5,0.0848637888664
1007,16 Nov 216.50 (SPY1609K216.5-4),0.50,0.57,139,15,216.5,0.0837766527032
1008,16 Nov 216.50 (SPY1609K216.5-8),0.54,0.58,919,15,216.5,0.0855850040825
1009,16 Nov 216.50 (SPY1609K216.5-A),0.51,0.57,37,15,216.5,0.0841397558296
1010,16 Nov 216.50 (SPY1609K216.5-B),0.37,0.56,95,15,216.5,0.0786090717815
1011,16 Nov 216.50 (SPY1609K216.5-E),0.52,0.57,644,15,216.5,0.0845021304856
1012,16 Nov 216.50 (SPY1609K216.5-I),0.52,0.55,1405,15,216.5,0.0837766527032
1013,16 Nov 216.50 (SPY1609K216.5-J),0.41,0.57,86,15,216.5,0.0804737672789
1015,16 Nov 216.50 (SPY1609K216.5-O),0.52,0.55,236,15,216.5,0.0837766527032
1016,16 Nov 216.50 (SPY1609K216.5-P),0.52,0.57,264,15,216.5,0.0845021304856
1017,16 Nov 216.50 (SPY1609K216.5-S),0.48,0.58,181,15,216.5,0.0834128085985
1018,16 Nov 216.50 (SPY1609K216.5-X),0.51,0.56,1089,15,216.5,0.0837766527032
1019,16 Nov 216.50 (SPY1609K216.5-Y),0.53,0.56,1202,15,216.5,0.0845021304856
1020,16 Nov 217.00 (SPY1609K217),0.34,0.36,26663,15,217.0,0.0777130839638
1021,16 Nov 217.00 (SPY1609K217-3),0.34,0.38,462,15,217.0,0.0785590615968
1022,16 Nov 217.00 (SPY1609K217-4),0.33,0.38,227,15,217.0,0.0781369606329
1023,16 Nov 217.00 (SPY1609K217-8),0.33,0.38,4491,15,217.0,0.0781369606329
1024,16 Nov 217.00 (SPY1609K217-A),0.30,0.39,352,15,217.0,0.0772873869926
1025,16 Nov 217.00 (SPY1609K217-B),0.33,0.42,115,15,217.0,0.0798151318132
1026,16 Nov 217.00 (SPY1609K217-E),0.33,0.38,9193,15,217.0,0.0781369606329
1027,16 Nov 217.00 (SPY1609K217-I),0.33,0.36,3166,15,217.0,0.0772873869926
1028,16 Nov 217.00 (SPY1609K217-J),0.33,0.43,326,15,217.0,0.0802305439338
1029,16 Nov 217.00 (SPY1609K217-K),0.33,4.82,120,15,217.0,0.223564785925
1030,16 Nov 217.00 (SPY1609K217-O),0.33,0.36,3032,15,217.0,0.0772873869926
1031,16 Nov 217.00 (SPY1609K217-P),0.34,0.42,1455,15,217.0,0.0802305439338
1032,16 Nov 217.00 (SPY1609K217-S),0.33,0.39,341,15,217.0,0.0785590615968
1033,16 Nov 217.00 (SPY1609K217-X),0.33,0.37,1918,15,217.0,0.0777130839638
1034,16 Nov 217.00 (SPY1609K217-Y),0.33,0.37,1465,15,217.0,0.0777130839638
1035,16 Nov 217.50 (SPY1609K217.5),0.20,0.23,8971,15,217.5,0.0724948724642
1036,16 Nov 217.50 (SPY1609K217.5-3),0.20,1.98,131,15,217.5,0.140738212096
1037,16 Nov 217.50 (SPY1609K217.5-4),0.20,0.24,921,15,217.5,0.0730209120907
1038,16 Nov 217.50 (SPY1609K217.5-8),0.20,0.24,612,15,217.5,0.0730209120907
1039,16 Nov 217.50 (SPY1609K217.5-A),0.20,0.25,584,15,217.5,0.0735424236732
1040,16 Nov 217.50 (SPY1609K217.5-B),0.20,0.33,96,15,217.5,0.077570075733
1041,16 Nov 217.50 (SPY1609K217.5-E),0.20,0.24,1441,15,217.5,0.0730209120907
1042,16 Nov 217.50 (SPY1609K217.5-I),0.20,0.23,1078,15,217.5,0.0724948724642
1043,16 Nov 217.50 (SPY1609K217.5-J),0.20,0.35,27,15,217.5,0.0785416714213
1045,16 Nov 217.50 (SPY1609K217.5-O),0.20,0.23,559,15,217.5,0.0724948724642
1046,16 Nov 217.50 (SPY1609K217.5-P),0.17,0.28,56,15,217.5,0.0735424236732
1047,16 Nov 217.50 (SPY1609K217.5-S),0.20,0.23,193,15,217.5,0.0724948724642
1048,16 Nov 217.50 (SPY1609K217.5-X),0.20,0.23,661,15,217.5,0.0724948724642
1049,16 Nov 217.50 (SPY1609K217.5-Y),0.20,0.23,2612,15,217.5,0.0724948724642
1050,16 Nov 218.00 (SPY1609K218),0.13,0.14,5471,15,218.0,0.0696730047991
1051,16 Nov 218.00 (SPY1609K218-3),0.13,0.17,240,15,218.0,0.0716593378421
1052,16 Nov 218.00 (SPY1609K218-4),0.11,0.15,150,15,218.0,0.0689890043525
1053,16 Nov 218.00 (SPY1609K218-8),0.10,0.16,653,15,218.0,0.0689890043525
1054,16 Nov 218.00 (SPY1609K218-A),0.13,0.16,401,15,218.0,0.0710075216249
